,make,model,ramat_gimur,year,doors,sitting,ignition,gearbox,gear,engine,piston,capacity,power,loops,moment,loopmoment,acceleration,speed,urban_consumption,intercity_consumption,consumption,electricity_use,battery_capacity,electric_range,home_charging_time,fast_charging_time,brake,airbag,stability,cenairbag,length,width,height,wheel,cargo,chaircargo,selfweight,totalweight,loading,towing_without_brakes,towing_with_brakes,tire,fuel,hanaa_nm,automatic_ind,sitting,engine_cd,n_model
0,מזראטי,גיבלי,MODENA,2022,4,5,אחורית,אוטומטית - טיפטרוניק,8,טורבו בנזין,6,2979,350,5500,50.9,1750,5.5,267,,,8.4,,,,,,ABS + EBD + BAS,7,יש,יש,497.1,194.5,146.1,299.8,500.0,,1850.0,,,,,ק' 245/45R19 א' 275/40R19,80.0,2X4,1,5,1,גיבלי
1,מזראטי,גיבלי,MODENA S,2022,4,5,אחורית,אוטומטית - טיפטרוניק,8,טורבו בנזין,6,2979,430,5750,59.1,2250,4.9,286,,,8.4,,,,,,ABS + EBD + BAS,7,יש,יש,497.1,194.5,146.1,299.8,500.0,,1850.0,,,,,ק' 245/45R19 א' 275/40R19,80.0,2X4,1,5,1,גיבלי
2,מזראטי,גיבלי,GT,2022,4,5,אחורית,אוטומטית - טיפטרוניק,8,טורבו-בנזין מיקרו-היברידי,6,1995,330,5750,45.8,4000,5.7,255,,,10.6,,,,,,ABS + EBD + BAS,7,יש,יש,497.1,194.5,146.1,299.8,500.0,,1878.0,,,,,235/50R18,70.0,2X4,1,5,6,גיבלי
3,מזראטי,גיבלי,TROFEO,2022,4,5,אחורית,אוטומטית - טיפטרוניק,8,טורבו בנזין,8,3799,580,6750,74.4,2250,4.3,326,,,7.9,,,,,,ABS + EBD + BAS,7,יש,יש,497.1,194.5,146.1,299.8,500.0,,1960.0,,,,,ק' 245/45R19 א' 275/40R19,80.0,2X4,1,5,1,גיבלי
4,מזראטי,גיבלי,-,2021,4,5,אחורית,אוטומטית - טיפטרוניק,8,טורבו בנזין,6,2979,345,5000,50.0,1750,5.5,267,7.1,14.0,10.4,,,,,,ABS + EBD + BAS,7,יש,יש,497.1,194.5,146.1,299.8,500.0,,1810.0,,,,,ק' 245/45R19 א' 275/40R19,80.0,2X4,1,5,1,גיבלי
5,מזראטי,גיבלי,S,2021,4,5,אחורית,אוטומטית - טיפטרוניק,8,טורבו בנזין,6,2979,410,5500,56.1,1750,5.0,285,6.6,12.9,9.6,,,,,,ABS + EBD + BAS,7,יש,יש,497.1,194.5,146.1,299.8,500.0,,1810.0,,,,,"ק' - 235/50R18, א' - 275/45R18",80.0,2X4,1,5,1,גיבלי
6,מזראטי,גיבלי,S Q4,2021,4,5,כפולה (4X4),אוטומטית - טיפטרוניק,8,טורבו בנזין,6,2979,430,5500,56.1,1750,4.8,284,7.1,14.1,10.3,,,,,,ABS + EBD + BAS,7,יש,יש,497.1,194.5,146.1,299.8,500.0,,1870.0,,,,,"ק' - 245/35R20, א' - 285/35R20",80.0,4X4,1,5,1,גיבלי
7,מזראטי,גיבלי,,2021,4,5,אחורית,אוטומטית - טיפטרוניק,8,טורבו דיזל,6,2987,275,4000,60.0,2000,6.3,250,12.8,20.4,16.6,,,,,,ABS + EBD + BAS,7,יש,יש,497.1,194.5,146.1,299.8,500.0,,1835.0,,,,,ק'  245/40R20 א' 285/35R20,70.0,2X4,1,5,2,גיבלי
8,מזראטי,גיבלי,GRANSPORT,2021,4,5,אחורית,אוטומטית - טיפטרוניק,8,טורבו בנזין,6,2979,345,5000,50.0,1750,5.5,267,7.9,11.2,,,,,,,ABS + EBD + BAS,7,יש,יש,497.1,194.5,146.1,299.8,500.0,,1810.0,,,,,ק' 245/45R20 א' 285/35R20,80.0,2X4,1,5,1,גיבלי
9,מזראטי,גיבלי,GRANSPORT,2021,4,5,אחורית,אוטומטית - טיפטרוניק,8,טורבו דיזל,6,2987,275,4000,60.0,2000,6.3,250,12.9,20.4,,,,,,,ABS + EBD + BAS,7,יש,יש,497.1,194.5,146.1,299.8,500.0,,1810.0,,,,,ק' 245/40R20 א' 285/35R20,80.0,2X4,1,5,2,גיבלי
