,make,model,ramat_gimur,year,doors,sitting,ignition,gearbox,gear,engine,piston,capacity,power,loops,moment,loopmoment,acceleration,speed,urban_consumption,intercity_consumption,consumption,electricity_use,battery_capacity,electric_range,home_charging_time,fast_charging_time,brake,airbag,stability,cenairbag,length,width,height,wheel,cargo,chaircargo,selfweight,totalweight,loading,towing_without_brakes,towing_with_brakes,tire,fuel,hanaa_nm,automatic_ind,sitting,engine_cd,n_model
0,ב.מ.וו,קופר,ONE  JUNIOR,2022,3,4,קדמית,אוטומטית - רובוטית כפולת מצמדים,7.0,טורבו בנזין,3.0,1499.0,102,3900.0,19.3,1380.0,10.3,195,,,17.8,,,,,,ABS + EBD + BAS,6,יש,יש,386.3,172.7,141.4,249.5,211,731.0,1263,,,,,175/65R15,40.0,2X4,1,4,1,קופר
1,ב.מ.וו,קופר,COOPER  ICONIC,2022,3,4,קדמית,אוטומטית - רובוטית כפולת מצמדים,7.0,טורבו בנזין,3.0,1499.0,136,4500.0,22.4,1480.0,8.1,210,,,17.8,,,,,,ABS + EBD + BAS,6,יש,יש,386.3,172.7,141.4,249.5,211,731.0,1262,,,,,175/65R15,40.0,2X4,1,4,1,קופר
2,ב.מ.וו,קופר,COOPER  ICONIC TECH,2022,3,4,קדמית,אוטומטית - רובוטית כפולת מצמדים,7.0,טורבו בנזין,3.0,1499.0,136,4500.0,22.4,1480.0,8.1,210,,,17.8,,,,,,ABS + EBD + BAS,6,יש,יש,386.3,172.7,141.4,249.5,211,731.0,1262,,,,,175/65R15,40.0,2X4,1,4,1,קופר
3,ב.מ.וו,קופר,COOPER S  LEGACY,2022,3,4,קדמית,אוטומטית - רובוטית כפולת מצמדים,7.0,טורבו בנזין,4.0,1998.0,178,5000.0,28.5,1350.0,6.6,235,,,16.9,,,,,,ABS + EBD + BAS,6,יש,יש,386.6,172.7,141.4,249.5,211,731.0,1440,,,,,205/45R17,44.0,2X4,1,4,1,קופר
4,ב.מ.וו,קופר,COOPER S  LEGACY TECH,2022,3,4,קדמית,אוטומטית - רובוטית כפולת מצמדים,7.0,טורבו בנזין,4.0,1998.0,178,5000.0,28.5,1350.0,6.6,235,,,16.6,,,,,,ABS + EBD + BAS,6,יש,יש,386.6,172.7,141.4,249.5,211,731.0,1440,,,,,205/45R17,44.0,2X4,1,4,1,קופר
5,ב.מ.וו,קופר,JCW  BOOST,2022,3,4,קדמית,אוטומטית - טיפטרוניק,8.0,טורבו בנזין,4.0,1998.0,231,5200.0,32.6,1450.0,6.1,246,,,14.9,,,,,,ABS + EBD + BAS,6,יש,יש,387.4,172.7,141.4,249.5,211,731.0,1400,,,,,205/40R18,44.0,2X4,1,4,1,קופר
6,ב.מ.וו,קופר,COOPER SE  LOUNGE,2022,3,4,קדמית,תמסורת ישירה,,חשמלי,,,184,7000.0,27.5,100.0,7.3,150,,,,149.0,32.6,228.0,03:30,,ABS + EBD + BAS,6,יש,יש,385.0,172.7,143.2,249.5,211,731.0,1491,,,,,195/55R16,,2X4,1,4,4,קופר
7,ב.מ.וו,קופר,COOPER SE  DESIGN ELECTRIC,2022,3,4,קדמית,תמסורת ישירה,,חשמלי,,,184,7000.0,27.5,100.0,7.3,150,,,,149.0,32.6,228.0,03:30,,ABS + EBD + BAS,6,יש,יש,385.0,172.7,143.2,249.5,211,731.0,1491,,,,,205/45R17,,2X4,1,4,4,קופר
8,ב.מ.וו,קופר,ONE  JUNIOR,2022,5,5,קדמית,אוטומטית - רובוטית כפולת מצמדים,7.0,טורבו בנזין,3.0,1499.0,102,3900.0,19.3,1380.0,10.6,192,,,17.8,,,,,,ABS + EBD + BAS,6,יש,יש,402.3,172.7,142.5,256.7,278,941.0,1319,,,,,175/65R15,40.0,2X4,1,5,1,קופר
9,ב.מ.וו,קופר,COOPER  ICONIC,2022,5,5,קדמית,אוטומטית - רובוטית כפולת מצמדים,7.0,טורבו בנזין,3.0,1499.0,136,4500.0,22.4,1480.0,8.3,207,,,17.8,,,,,,ABS + EBD + BAS,6,יש,יש,402.3,172.7,142.5,256.7,278,941.0,1317,,,,,175/65R15,40.0,2X4,1,5,1,קופר
10,ב.מ.וו,קופר,COOPER  ICONIC TECH,2022,5,5,קדמית,אוטומטית - רובוטית כפולת מצמדים,7.0,טורבו בנזין,3.0,1499.0,136,4500.0,22.4,1480.0,8.3,207,,,17.8,,,,,,ABS + EBD + BAS,6,יש,יש,402.3,172.7,142.5,256.7,278,941.0,1317,,,,,175/65R15,40.0,2X4,1,5,1,קופר
11,ב.מ.וו,קופר,COOPER S  LEGACY,2022,5,5,קדמית,אוטומטית - רובוטית כפולת מצמדים,7.0,טורבו בנזין,4.0,1998.0,178,5000.0,28.5,1350.0,6.7,235,,,16.6,,,,,,ABS + EBD + BAS,6,יש,יש,402.3,172.7,142.5,256.7,278,941.0,1420,,,,,205/45R17,44.0,2X4,1,5,1,קופר
12,ב.מ.וו,קופר,COOPER S  LEGACY TECH,2022,5,5,קדמית,אוטומטית - רובוטית כפולת מצמדים,7.0,טורבו בנזין,4.0,1998.0,178,5000.0,28.5,1350.0,6.7,235,,,16.6,,,,,,ABS + EBD + BAS,6,יש,יש,402.3,172.7,142.5,256.7,278,941.0,1420,,,,,205/45R17,44.0,2X4,1,5,1,קופר
13,ב.מ.וו,קופר,ONE  JUNIOR,2021,3,4,קדמית,אוטומטית - רובוטית כפולת מצמדים,7.0,טורבו בנזין,3.0,1499.0,102,3900.0,19.3,1380.0,10.3,195,,,17.8,,,,,,ABS + EBD + BAS,6,יש,יש,386.3,172.7,141.4,249.5,211,731.0,1263,,,,,175/65R15,40.0,2X4,1,4,1,קופר
14,ב.מ.וו,קופר,COOPER  ICONIC,2021,3,4,קדמית,אוטומטית - רובוטית כפולת מצמדים,7.0,טורבו בנזין,3.0,1499.0,136,4500.0,22.4,1480.0,8.1,210,,,17.8,,,,,,ABS + EBD + BAS,6,יש,יש,386.3,172.7,141.4,249.5,211,731.0,1262,,,,,175/65R15,40.0,2X4,1,4,1,קופר
15,ב.מ.וו,קופר,COOPER  ICONIC TECH,2021,3,4,קדמית,אוטומטית - רובוטית כפולת מצמדים,7.0,טורבו בנזין,3.0,1499.0,136,4500.0,22.4,1480.0,8.1,210,,,17.8,,,,,,ABS + EBD + BAS,6,יש,יש,386.3,172.7,141.4,249.5,211,731.0,1262,,,,,175/65R15,40.0,2X4,1,4,1,קופר
16,ב.מ.וו,קופר,COOPER S  LEGACY,2021,3,4,קדמית,אוטומטית - רובוטית כפולת מצמדים,7.0,טורבו בנזין,4.0,1998.0,178,5000.0,28.5,1350.0,6.6,235,,,16.9,,,,,,ABS + EBD + BAS,6,יש,יש,386.6,172.7,141.4,249.5,211,731.0,1440,,,,,205/45R17,44.0,2X4,1,4,1,קופר
17,ב.מ.וו,קופר,COOPER S  LEGACY TECH,2021,3,4,קדמית,אוטומטית - רובוטית כפולת מצמדים,7.0,טורבו בנזין,4.0,1998.0,178,5000.0,28.5,1350.0,6.6,235,,,16.6,,,,,,ABS + EBD + BAS,6,יש,יש,386.6,172.7,141.4,249.5,211,731.0,1440,,,,,205/45R17,44.0,2X4,1,4,1,קופר
18,ב.מ.וו,קופר,JCW  BOOST,2021,3,4,קדמית,אוטומטית - טיפטרוניק,8.0,טורבו בנזין,4.0,1998.0,231,5200.0,32.6,1450.0,6.1,246,,,14.9,,,,,,ABS + EBD + BAS,6,יש,יש,387.4,172.7,141.4,249.5,211,731.0,1400,,,,,205/40R18,44.0,2X4,1,4,1,קופר
19,ב.מ.וו,קופר,COOPER SE  LOUNGE,2021,3,4,קדמית,תמסורת ישירה,,חשמלי,,,184,7000.0,27.5,100.0,7.3,150,,,,149.0,32.6,228.0,03:30,,ABS + EBD + BAS,6,יש,יש,385.0,172.7,143.2,249.5,211,731.0,1491,,,,,195/55R16,,2X4,1,4,4,קופר
20,ב.מ.וו,קופר,COOPER SE  DESIGN ELECTRIC,2021,3,4,קדמית,תמסורת ישירה,,חשמלי,,,184,7000.0,27.5,100.0,7.3,150,,,,149.0,32.6,228.0,03:30,,ABS + EBD + BAS,6,יש,יש,385.0,172.7,143.2,249.5,211,731.0,1491,,,,,205/45R17,,2X4,1,4,4,קופר
21,ב.מ.וו,קופר,ONE  JUNIOR,2021,5,5,קדמית,אוטומטית - רובוטית כפולת מצמדים,7.0,טורבו בנזין,3.0,1499.0,102,3900.0,19.3,1380.0,10.6,192,,,17.8,,,,,,ABS + EBD + BAS,6,יש,יש,402.3,172.7,142.5,256.7,278,941.0,1319,,,,,175/65R15,40.0,2X4,1,5,1,קופר
22,ב.מ.וו,קופר,COOPER  ICONIC,2021,5,5,קדמית,אוטומטית - רובוטית כפולת מצמדים,7.0,טורבו בנזין,3.0,1499.0,136,4500.0,22.4,1480.0,8.3,207,,,17.8,,,,,,ABS + EBD + BAS,6,יש,יש,402.3,172.7,142.5,256.7,278,941.0,1317,,,,,175/65R15,40.0,2X4,1,5,1,קופר
23,ב.מ.וו,קופר,COOPER  ICONIC TECH,2021,5,5,קדמית,אוטומטית - רובוטית כפולת מצמדים,7.0,טורבו בנזין,3.0,1499.0,136,4500.0,22.4,1480.0,8.3,207,,,17.8,,,,,,ABS + EBD + BAS,6,יש,יש,402.3,172.7,142.5,256.7,278,941.0,1317,,,,,175/65R15,40.0,2X4,1,5,1,קופר
24,ב.מ.וו,קופר,COOPER S  LEGACY,2021,5,5,קדמית,אוטומטית - רובוטית כפולת מצמדים,7.0,טורבו בנזין,4.0,1998.0,178,5000.0,28.5,1350.0,6.7,235,,,16.6,,,,,,ABS + EBD + BAS,6,יש,יש,402.3,172.7,142.5,256.7,278,941.0,1420,,,,,205/45R17,44.0,2X4,1,5,1,קופר
25,ב.מ.וו,קופר,COOPER S  LEGACY TECH,2021,5,5,קדמית,אוטומטית - רובוטית כפולת מצמדים,7.0,טורבו בנזין,4.0,1998.0,178,5000.0,28.5,1350.0,6.7,235,,,16.6,,,,,,ABS + EBD + BAS,6,יש,יש,402.3,172.7,142.5,256.7,278,941.0,1420,,,,,205/45R17,44.0,2X4,1,5,1,קופר
26,ב.מ.וו,קופר,COOPER   PEPPER,2020,3,4,קדמית,אוטומטית - רובוטית כפולת מצמדים,7.0,טורבו בנזין,3.0,1499.0,136,4500.0,22.4,1480.0,7.8,210,16.9,23.2,20.4,,,,,,ABS + EBD + BAS,6,יש,יש,382.1,172.7,141.4,249.5,211,731.0,1210,,,,,195/55R16,40.0,2X4,1,4,1,קופר
27,ב.מ.וו,קופר,COOPER S  PEPPER,2020,3,4,קדמית,אוטומטית - רובוטית כפולת מצמדים,7.0,טורבו בנזין,4.0,1998.0,192,5000.0,28.5,1350.0,6.7,235,14.3,21.7,18.2,,,,,,ABS + EBD + BAS,6,יש,יש,385.0,172.7,141.4,249.5,211,731.0,1280,,,,,195/65R16,44.0,2X4,1,4,1,קופר
28,ב.מ.וו,קופר,ONE  SALT,2020,3,4,קדמית,אוטומטית - רובוטית כפולת מצמדים,7.0,טורבו בנזין,3.0,1499.0,102,3900.0,19.3,1380.0,10.2,195,17.5,23.8,20.8,,,,,,ABS + EBD + BAS,6,יש,יש,382.1,172.7,141.4,249.5,211,731.0,1215,,,,,175/65R15,40.0,2X4,1,4,1,קופר
29,ב.מ.וו,קופר,JOHN COOPER WORKS CHILI,2020,3,4,קדמית,אוטומטית,8.0,טורבו בנזין,4.0,1998.0,231,5200.0,32.6,1450.0,6.1,246,14.5,20.0,17.5,,,,,,ABS + EBD + BAS,6,יש,יש,387.4,172.7,141.4,249.5,211,731.0,1330,,,,,205/40R18,44.0,2X4,1,4,1,קופר
30,ב.מ.וו,קופר,COOPER   PEPPER,2020,5,5,קדמית,אוטומטית - רובוטית כפולת מצמדים,7.0,טורבו בנזין,3.0,1499.0,136,4500.0,22.4,1480.0,8.1,207,16.6,22.7,20.0,,,,,,ABS + EBD + BAS,6,יש,יש,398.2,172.7,142.5,256.7,278,941.0,1265,,,,,195/55R16,40.0,2X4,1,5,1,קופר
31,ב.מ.וו,קופר,COOPER S   PEPPER,2020,5,5,קדמית,אוטומטית - רובוטית כפולת מצמדים,7.0,טורבו בנזין,4.0,1998.0,192,5000.0,28.5,1350.0,6.8,235,14.7,21.7,18.5,,,,,,ABS + EBD + BAS,6,יש,יש,400.5,172.7,142.4,256.7,278,941.0,1340,,,,,205/45R17,44.0,2X4,1,5,1,קופר
32,ב.מ.וו,קופר,COOPER S   CHILI,2020,5,5,קדמית,אוטומטית - רובוטית כפולת מצמדים,7.0,טורבו בנזין,4.0,1998.0,192,5000.0,28.5,1350.0,6.8,235,14.7,21.7,18.5,,,,,,ABS + EBD + BAS,6,יש,יש,400.5,172.7,142.4,256.7,278,941.0,1340,,,,,205/45R17,44.0,2X4,1,5,1,קופר
33,ב.מ.וו,קופר,ONE  SALT,2020,5,5,קדמית,אוטומטית - רובוטית כפולת מצמדים,7.0,טורבו בנזין,3.0,1499.0,102,3900.0,19.3,1380.0,10.5,192,17.2,23.2,20.8,,,,,,ABS + EBD + BAS,6,יש,יש,398.2,172.7,142.5,256.7,278,941.0,1270,,,,,175/65R15,40.0,2X4,1,5,1,קופר
34,ב.מ.וו,קופר,COOPER S  CHILI,2020,3,4,קדמית,אוטומטית - רובוטית כפולת מצמדים,7.0,טורבו בנזין,4.0,1998.0,192,5000.0,28.5,1350.0,6.7,235,14.3,21.7,18.2,,,,,,ABS + EBD + BAS,6,יש,יש,385.0,172.7,141.4,249.5,211,731.0,1280,,,,,205/45R17,44.0,2X4,1,4,1,קופר
35,ב.מ.וו,קופר,COOPER  URBAN,2020,3,4,קדמית,אוטומטית - רובוטית כפולת מצמדים,7.0,טורבו בנזין,3.0,1499.0,136,4500.0,22.4,1480.0,7.8,210,16.9,23.2,20.4,,,,,,ABS + EBD + BAS,6,יש,יש,382.1,172.7,141.4,249.5,211,731.0,1215,,,,,175/65R15,40.0,2X4,1,4,1,קופר
36,ב.מ.וו,קופר,COOPER   URBAN,2020,5,5,קדמית,אוטומטית - רובוטית כפולת מצמדים,7.0,טורבו בנזין,3.0,1499.0,136,4500.0,22.4,1480.0,8.1,207,16.6,22.7,20.0,,,,,,ABS + EBD + BAS,6,יש,יש,398.2,172.7,142.5,256.7,278,941.0,1265,,,,,175/65R15,40.0,2X4,1,5,1,קופר
37,ב.מ.וו,קופר,SE  PASSION,2020,3,4,קדמית,תמסורת ישירה,,חשמלי,,,184,,27.5,,7.3,150,,,,148.0,32.6,235.0,03:30,01:24,ABS + EBD + BAS,6,יש,יש,384.5,172.7,143.2,249.5,211,731.0,1365,,,,,205/45R17,,2X4,1,4,4,קופר
38,ב.מ.וו,קופר,COOPER   PEPPER,2019,3,4,קדמית,אוטומטית - רובוטית כפולת מצמדים,7.0,טורבו בנזין,3.0,1499.0,136,4500.0,22.4,1480.0,7.8,210,16.9,23.2,20.4,,,,,,ABS + EBD + BAS,6,יש,יש,382.1,172.7,141.4,249.5,211,731.0,1210,,,,,195/55R16,40.0,2X4,1,4,1,קופר
39,ב.מ.וו,קופר,COOPER S  PEPPER,2019,3,4,קדמית,אוטומטית - רובוטית כפולת מצמדים,7.0,טורבו בנזין,4.0,1998.0,192,5000.0,28.5,1350.0,6.7,235,14.3,21.7,18.2,,,,,,ABS + EBD + BAS,6,יש,יש,385.0,172.7,141.4,249.5,211,731.0,1280,,,,,195/65R16,44.0,2X4,1,4,1,קופר
40,ב.מ.וו,קופר,ONE  SALT,2019,3,4,קדמית,אוטומטית - רובוטית כפולת מצמדים,7.0,טורבו בנזין,3.0,1499.0,102,3900.0,19.3,1380.0,10.2,195,17.5,23.8,20.8,,,,,,ABS + EBD + BAS,6,יש,יש,382.1,172.7,141.4,249.5,211,731.0,1215,,,,,175/65R15,40.0,2X4,1,4,1,קופר
41,ב.מ.וו,קופר,JOHN COOPER WORKS CHILI,2019,3,4,קדמית,אוטומטית,6.0,טורבו בנזין,4.0,1998.0,231,5200.0,32.6,1450.0,6.1,246,14.5,20.0,17.5,,,,,,ABS + EBD + BAS,6,יש,יש,387.4,172.7,141.4,249.5,211,731.0,1330,,,,,205/40R18,44.0,2X4,1,4,1,קופר
