,make,model,ramat_gimur,year,doors,sitting,ignition,gearbox,gear,engine,piston,capacity,power,loops,moment,loopmoment,acceleration,speed,urban_consumption,intercity_consumption,consumption,electricity_use,battery_capacity,electric_range,home_charging_time,fast_charging_time,brake,airbag,stability,cenairbag,length,width,height,wheel,cargo,chaircargo,selfweight,totalweight,loading,towing_without_brakes,towing_with_brakes,tire,fuel,hanaa_nm,automatic_ind,sitting,engine_cd,n_model
0,מיצובישי,ספייס סטאר,INSTYLE,2022,5,5,קדמית,אוטומטית - רציפה,,בנזין,3,1193,71,6000,10.4,3500,15.8,163,,,18.5,,,,,,ABS + EBD + BAS,6,יש,יש,384.5,166.5,150.5,245.0,235,,970,1370,400,100,200,165/65R14,35,2X4,0,5,1,ספייס סטאר
1,מיצובישי,ספייס סטאר,PREMIUM,2022,5,5,קדמית,אוטומטית - רציפה,,בנזין,3,1193,71,6000,10.4,3500,15.8,163,,,18.1,,,,,,ABS + EBD + BAS,6,יש,יש,384.5,166.5,150.5,245.0,235,,970,1370,400,100,200,175/55R15,35,2X4,0,5,1,ספייס סטאר
2,מיצובישי,ספייס סטאר,SUPREME,2022,5,5,קדמית,אוטומטית - רציפה,,בנזין,3,1193,71,6000,10.4,3500,15.8,163,,,18.1,,,,,,ABS + EBD + BAS,6,יש,יש,384.5,166.5,150.5,245.0,235,,970,1370,400,100,200,175/55R15,35,2X4,0,5,1,ספייס סטאר
3,מיצובישי,ספייס סטאר,INSTYLE,2021,5,5,קדמית,אוטומטית - רציפה,,בנזין,3,1193,71,6000,10.4,3500,15.8,163,,,18.5,,,,,,ABS + EBD + BAS,6,יש,יש,384.5,166.5,150.5,245.0,235,,970,1370,400,100,200,165/65R14,35,2X4,0,5,1,ספייס סטאר
4,מיצובישי,ספייס סטאר,PREMIUM,2021,5,5,קדמית,אוטומטית - רציפה,,בנזין,3,1193,71,6000,10.4,3500,15.8,163,,,18.1,,,,,,ABS + EBD + BAS,6,יש,יש,384.5,166.5,150.5,245.0,235,,970,1370,400,100,200,175/55R15,35,2X4,0,5,1,ספייס סטאר
5,מיצובישי,ספייס סטאר,SUPREME,2021,5,5,קדמית,אוטומטית - רציפה,,בנזין,3,1193,71,6000,10.4,3500,15.8,163,,,18.1,,,,,,ABS + EBD + BAS,6,יש,יש,384.5,166.5,150.5,245.0,235,,970,1370,400,100,200,175/55R15,35,2X4,0,5,1,ספייס סטאר
6,מיצובישי,ספייס סטאר,INSTYLE,2020,5,5,קדמית,אוטומטית - רציפה,,בנזין,3,1193,80,6000,10.8,4000,13.5,173,18.1,22.7,20.8,,,,,,ABS + EBD + BAS,6,יש,יש,384.5,166.5,150.5,245.0,235,,970,,,100,200,165/65R14,35,2X4,0,5,1,ספייס סטאר
7,מיצובישי,ספייס סטאר,PREMIUM,2020,5,5,קדמית,אוטומטית - רציפה,,בנזין,3,1193,80,6000,10.8,4000,13.5,173,17.5,22.2,20.4,,,,,,ABS + EBD + BAS,6,יש,יש,384.5,166.5,150.5,245.0,235,,970,,,100,200,175/55R15,35,2X4,0,5,1,ספייס סטאר
8,מיצובישי,ספייס סטאר,SUPREME,2020,5,5,קדמית,אוטומטית - רציפה,,בנזין,3,1193,80,6000,10.8,4000,13.5,173,17.5,22.2,20.4,,,,,,ABS + EBD + BAS,6,יש,יש,384.5,166.5,150.5,245.0,235,,970,,,100,200,175/55R15,35,2X4,0,5,1,ספייס סטאר
9,מיצובישי,ספייס סטאר,INSTYLE,2019,5,5,קדמית,אוטומטית - רציפה,,בנזין,3,1193,80,6000,10.8,4000,13.5,173,16.6,21.7,19.6,,,,,,ABS + EBD + BAS,6,יש,יש,379.5,166.5,150.5,245.0,235,912.0,895,,,100,200,165/65R14,35,2X4,0,5,1,ספייס סטאר
