,make,model,ramat_gimur,year,doors,sitting,ignition,gearbox,gear,engine,piston,capacity,power,loops,moment,loopmoment,acceleration,speed,urban_consumption,intercity_consumption,consumption,electricity_use,battery_capacity,electric_range,home_charging_time,fast_charging_time,brake,airbag,stability,cenairbag,length,width,height,wheel,cargo,chaircargo,selfweight,totalweight,loading,towing_without_brakes,towing_with_brakes,tire,fuel,hanaa_nm,automatic_ind,sitting,engine_cd,n_model
0,מקסוס,E-יוניק 6,EV,2022,5,5,קדמית,תמסורת ישירה,,חשמלי,,,174,,31.6,,9.7,160.0,,,,215.0,70.0,354.0,11:00,00:33,ABS + EBD + BAS,6,יש,אין,473.5,186.0,173.6,276.0,906,1680.0,1885,2285,400,400.0,750,235/55R18,,2X4,1,5,4,E-יוניק 6
1,מקסוס,E-יוניק 5,"7 """,2022,5,7,קדמית,תמסורת ישירה,,חשמלי,,,174,,31.6,,9.5,160.0,,,,231.2,52.5,260.0,08:00,00:30,ABS + EBD + BAS,6,יש,יש,482.5,182.5,177.8,280.0,406,1162.0,1810,2351,541,,400,215/55R17,,2X4,1,7,4,E-יוניק 5
2,מקסוס,E-יוניק 5,"6   """,2022,5,6,קדמית,תמסורת ישירה,,חשמלי,,,174,,31.6,,9.5,160.0,,,,226.0,70.0,360.0,10:00,00:45,ABS + EBD + BAS,6,יש,יש,482.5,182.5,177.8,280.0,406,1162.0,1955,2351,541,,400,215/55R17,,2X4,1,6,4,E-יוניק 5
3,מקסוס,E-יוניק 5,"7 """,2021,5,7,קדמית,תמסורת ישירה,,חשמלי,,,174,,31.6,,9.5,160.0,,,,231.2,52.5,260.0,08:00,00:30,ABS + EBD + BAS,6,יש,יש,482.5,182.5,177.8,280.0,406,1162.0,1810,2351,541,,400,215/55R17,,2X4,1,7,4,E-יוניק 5
4,מקסוס,E-יוניק 5,"6   """,2021,5,6,קדמית,תמסורת ישירה,,חשמלי,,,174,,31.6,,9.5,160.0,,,,226.0,70.0,360.0,10:00,00:45,ABS + EBD + BAS,6,יש,יש,482.5,182.5,177.8,280.0,406,1162.0,1955,2351,541,,400,215/55R17,,2X4,1,6,4,E-יוניק 5
5,מקסוס,E-דליבר 3,,2022,5,2,קדמית,תמסורת ישירה,,חשמלי,,,120,,26.0,,12.0,120.0,,,,236.3,52.5,240.0,08:00,00:45,ABS + EBD + BAS,2,יש,יש,455.5,178.0,189.5,291.0,4800,,1555,2460,905,750.0,1200,185/65R16,,2X4,1,2,4,E-דליבר 3
6,מקסוס,E-דליבר 3,,2022,5,2,קדמית,תמסורת ישירה,,חשמלי,,,120,,26.0,,13.0,120.0,,,,253.1,52.5,230.0,08:00,00:45,ABS + EBD + BAS,2,יש,יש,514.5,178.0,190.0,328.5,6300,,1640,2630,990,750.0,1200,185/65R16,,2X4,1,2,4,E-דליבר 3
7,מקסוס,E-דליבר 3,,2021,5,2,קדמית,תמסורת ישירה,,חשמלי,,,120,,26.0,,12.0,120.0,,,,236.3,52.5,240.0,08:00,00:45,ABS + EBD + BAS,2,יש,יש,455.5,178.0,189.5,291.0,4800,,1555,2460,905,750.0,1200,185/65R16,,2X4,1,2,4,E-דליבר 3
8,מקסוס,E-דליבר 3,,2021,5,2,קדמית,תמסורת ישירה,,חשמלי,,,120,,26.0,,13.0,120.0,,,,253.1,52.5,230.0,08:00,00:45,ABS + EBD + BAS,2,יש,יש,514.5,178.0,190.0,328.5,6300,,1640,2630,990,750.0,1200,185/65R16,,2X4,1,2,4,E-דליבר 3
9,מקסוס,V80,-,2022,6,2,קדמית,ידנית,5.0,טורבו דיזל,4.0,2499.0,130,3800.0,33.6,1800.0,,,8.9,12.0,10.6,,,,,,ABS + EBD + BAS,2,יש,יש,495.0,199.8,213.2,310.0,6900,,2135,3200,1065,750.0,1200,215/70R16,80.0,2X4,0,2,2,V80
10,מקסוס,V80,-,2022,6,2,קדמית,ידנית,5.0,טורבו דיזל,4.0,2499.0,130,3800.0,33.6,1800.0,,,8.9,12.0,10.6,,,,,,ABS + EBD + BAS,2,יש,יש,570.0,199.8,234.5,385.0,10200,,2115,3500,1385,750.0,1200,215/70R16,80.0,2X4,0,2,2,V80
11,מקסוס,V80,-,2022,6,2,קדמית,ידנית,5.0,טורבו דיזל,4.0,2499.0,130,3800.0,33.6,1800.0,,,8.9,12.0,10.6,,,,,,ABS + EBD + BAS,2,יש,יש,570.0,199.8,255.2,385.0,11400,,2145,3500,1355,750.0,1200,215/70R16,80.0,2X4,0,2,2,V80
12,מקסוס,V80,-,2021,6,2,קדמית,ידנית,5.0,טורבו דיזל,4.0,2499.0,130,3800.0,33.6,1800.0,,,8.9,12.0,10.6,,,,,,ABS + EBD + BAS,2,יש,יש,495.0,199.8,213.2,310.0,6900,,2135,3200,1065,750.0,1200,215/70R16,80.0,2X4,0,2,2,V80
13,מקסוס,V80,-,2021,6,2,קדמית,ידנית,5.0,טורבו דיזל,4.0,2499.0,130,3800.0,33.6,1800.0,,,8.9,12.0,10.6,,,,,,ABS + EBD + BAS,2,יש,יש,570.0,199.8,234.5,385.0,10200,,2115,3500,1385,750.0,1200,215/70R16,80.0,2X4,0,2,2,V80
14,מקסוס,V80,-,2021,6,2,קדמית,ידנית,5.0,טורבו דיזל,4.0,2499.0,130,3800.0,33.6,1800.0,,,8.9,12.0,10.6,,,,,,ABS + EBD + BAS,2,יש,יש,570.0,199.8,255.2,385.0,11400,,2145,3500,1355,750.0,1200,215/70R16,80.0,2X4,0,2,2,V80
