,make,model,ramat_gimur,year,doors,sitting,ignition,gearbox,gear,engine,piston,capacity,power,loops,moment,loopmoment,acceleration,speed,urban_consumption,intercity_consumption,consumption,electricity_use,battery_capacity,electric_range,home_charging_time,fast_charging_time,brake,airbag,stability,cenairbag,length,width,height,wheel,cargo,chaircargo,selfweight,totalweight,loading,towing_without_brakes,towing_with_brakes,tire,fuel,hanaa_nm,automatic_ind,sitting,engine_cd,n_model
0,ניסאן,מייקרה,ACENTA PLUS,2022,5,5,קדמית,אוטומטית - רציפה,,טורבו בנזין,3.0,999.0,91,5000.0,14.7,2000.0,13.0,171.0,,,16.4,,,,,,ABS + EBD + BAS,6,יש,יש,399.9,174.3,145.5,252.5,300.0,1004.0,1143,1545.0,402.0,555.0,1200.0,195/55R16,41.0,2X4,1,5,1,מייקרה
1,ניסאן,מייקרה,N-DESIGN,2022,5,5,קדמית,אוטומטית - רציפה,,טורבו בנזין,3.0,999.0,91,5000.0,14.7,2000.0,13.0,171.0,,,15.8,,,,,,ABS + EBD + BAS,6,יש,יש,399.9,174.3,145.5,252.5,300.0,1004.0,1143,1545.0,402.0,555.0,1200.0,195/55R16,41.0,2X4,1,5,1,מייקרה
2,ניסאן,מייקרה,ACENTA,2021,5,5,קדמית,ידנית,5.0,טורבו בנזין,3.0,999.0,100,5000.0,16.3,2750.0,10.9,184.0,,,17.8,,,,,,ABS + EBD + BAS,6,יש,יש,399.9,174.3,145.5,252.5,300.0,1004.0,1135,,,555.0,1200.0,195/55R16,41.0,2X4,0,5,1,מייקרה
3,ניסאן,מייקרה,ACENTA,2021,5,5,קדמית,אוטומטית - רציפה,,טורבו בנזין,3.0,999.0,100,5000.0,14.7,2000.0,13.0,177.0,,,16.1,,,,,,ABS + EBD + BAS,6,יש,יש,399.9,174.3,145.5,252.5,300.0,1004.0,1155,,,555.0,1200.0,195/55R16,41.0,2X4,1,5,1,מייקרה
4,ניסאן,מייקרה,ACENTA PLUS,2021,5,5,קדמית,אוטומטית - רציפה,,טורבו בנזין,3.0,999.0,100,5000.0,14.7,2000.0,13.0,177.0,,,16.1,,,,,,ABS + EBD + BAS,6,יש,יש,399.9,174.3,145.5,252.5,300.0,1004.0,1155,,,555.0,1200.0,195/55R16,41.0,2X4,1,5,1,מייקרה
5,ניסאן,מייקרה,N-SPORT,2021,5,5,קדמית,אוטומטית - רציפה,,טורבו בנזין,3.0,999.0,100,5000.0,14.7,2000.0,13.0,177.0,,,15.6,,,,,,ABS + EBD + BAS,6,יש,יש,399.9,174.3,145.5,252.5,300.0,1004.0,1155,,,555.0,1200.0,205/45R17,41.0,2X4,1,5,1,מייקרה
6,ניסאן,מייקרה,VISIA,2021,5,5,קדמית,ידנית,5.0,טורבו בנזין,3.0,999.0,100,5000.0,16.3,2750.0,10.9,184.0,,,17.8,,,,,,ABS + EBD + BAS,6,יש,יש,399.9,174.3,145.5,252.5,300.0,1004.0,1135,1550.0,415.0,555.0,1200.0,185/65R15,41.0,2X4,0,5,1,מייקרה
7,ניסאן,מייקרה,ACENTA,2020,5,5,קדמית,ידנית,5.0,טורבו בנזין,3.0,999.0,100,5000.0,16.3,2750.0,10.9,184.0,17.8,25.6,22.2,,,,,,ABS + EBD + BAS,6,יש,יש,399.9,174.3,145.5,252.5,300.0,1004.0,1135,,,555.0,1200.0,195/55R16,41.0,2X4,0,5,1,מייקרה
8,ניסאן,מייקרה,ACENTA,2020,5,5,קדמית,אוטומטית - רציפה,,טורבו בנזין,3.0,999.0,100,5000.0,14.7,2000.0,13.0,177.0,17.8,23.8,21.3,,,,,,ABS + EBD + BAS,6,יש,יש,399.9,174.3,145.5,252.5,300.0,1004.0,1155,,,555.0,1200.0,195/55R16,41.0,2X4,1,5,1,מייקרה
9,ניסאן,מייקרה,ACENTA PLUS,2020,5,5,קדמית,אוטומטית - רציפה,,טורבו בנזין,3.0,999.0,100,5000.0,14.7,2000.0,13.0,177.0,17.8,23.8,21.3,,,,,,ABS + EBD + BAS,6,יש,יש,399.9,174.3,145.5,252.5,300.0,1004.0,1155,,,555.0,1200.0,195/55R16,41.0,2X4,1,5,1,מייקרה
