,make,model,ramat_gimur,year,doors,sitting,ignition,gearbox,gear,engine,piston,capacity,power,loops,moment,loopmoment,acceleration,speed,urban_consumption,intercity_consumption,consumption,electricity_use,battery_capacity,electric_range,home_charging_time,fast_charging_time,brake,airbag,stability,cenairbag,length,width,height,wheel,cargo,chaircargo,selfweight,totalweight,loading,towing_without_brakes,towing_with_brakes,tire,fuel,hanaa_nm,automatic_ind,sitting,engine_cd,n_model
0,סאיק-MG,3,CLASSIC,2017,5,5,קדמית,ידנית,5.0,בנזין,4.0,1498.0,106,6000.0,14.0,4750.0,10.9,180,14.4,20.8,18.1,,,,,,ABS + EBD + BAS,6,יש,אין,401.8,172.8,150.7,252.0,256,938.0,1155.0,,,,,185/70R14,45.0,2X4,0,5,1,3
1,סאיק-MG,3,COMFORT,2017,5,5,קדמית,ידנית,5.0,בנזין,4.0,1498.0,106,6000.0,14.0,4750.0,10.9,180,14.4,20.8,18.1,,,,,,ABS + EBD + BAS,6,יש,יש,401.8,172.8,150.7,252.0,256,938.0,1155.0,,,,,195/55R16,45.0,2X4,0,5,1,3
2,סאיק-MG,3,DE-LUXE,2016,5,5,קדמית,ידנית,5.0,בנזין,4.0,1498.0,106,6000.0,14.0,4750.0,10.9,180,13.3,20.4,17.2,,,,,,ABS + EBD + BAS,6,יש,יש,401.8,172.8,150.7,252.0,256,1233.0,1155.0,,,,,195/55R16,45.0,2X4,0,5,1,3
3,סאיק-MG,3,CLASSIC,2016,5,5,קדמית,ידנית,5.0,בנזין,4.0,1498.0,106,6000.0,14.0,4750.0,10.9,180,13.3,20.4,17.2,,,,,,ABS + EBD + BAS,6,יש,אין,401.8,172.8,150.7,252.0,256,1233.0,1155.0,,,,,185/70R14,45.0,2X4,0,5,1,3
4,סאיק-MG,3,COMFORT,2016,5,5,קדמית,ידנית,5.0,בנזין,4.0,1498.0,106,6000.0,14.0,4750.0,10.9,180,13.3,20.4,17.2,,,,,,ABS + EBD + BAS,6,יש,יש,401.8,172.8,150.7,252.0,256,1233.0,1155.0,,,,,195/55R16,45.0,2X4,0,5,1,3
5,סאיק-MG,3,CLASSIC,2015,5,5,קדמית,ידנית,5.0,בנזין,4.0,1498.0,106,6000.0,14.0,4750.0,10.9,180,13.3,20.4,17.2,,,,,,ABS + EBD + BAS,6,יש,אין,401.8,172.8,150.7,252.0,256,1233.0,1155.0,,,,,185/70R14,45.0,2X4,0,5,1,3
6,סאיק-MG,3,COMFORT,2015,5,5,קדמית,ידנית,5.0,בנזין,4.0,1498.0,106,6000.0,14.0,4750.0,10.9,180,13.3,20.4,17.2,,,,,,ABS + EBD + BAS,6,יש,יש,401.8,172.8,150.7,252.0,256,1233.0,1155.0,,,,,195/55R16,45.0,2X4,0,5,1,3
7,סאיק-MG,3,DE-LUXE,2015,5,5,קדמית,ידנית,5.0,בנזין,4.0,1498.0,106,6000.0,14.0,4750.0,10.9,180,13.3,20.4,17.2,,,,,,ABS + EBD + BAS,6,יש,יש,401.8,172.8,150.7,252.0,256,1233.0,1155.0,,,,,195/55R16,45.0,2X4,0,5,1,3
8,סאיק-MG,3,CLASSIC,2014,5,5,קדמית,ידנית,5.0,בנזין,4.0,1498.0,106,6000.0,14.0,4750.0,10.9,180,13.3,20.4,17.2,,,,,,ABS + EBD + BAS,6,יש,אין,401.8,172.8,150.7,252.0,256,1233.0,1155.0,,,,,185/70R14,45.0,2X4,0,5,1,3
9,סאיק-MG,3,COMFORT,2014,5,5,קדמית,ידנית,5.0,בנזין,4.0,1498.0,106,6000.0,14.0,4750.0,10.9,180,13.3,20.4,17.2,,,,,,ABS + EBD + BAS,6,יש,יש,401.8,172.8,150.7,252.0,256,1233.0,1155.0,,,,,195/55R16,45.0,2X4,0,5,1,3
10,סאיק-MG,3,DE-LUXE,2014,5,5,קדמית,ידנית,5.0,בנזין,4.0,1498.0,106,6000.0,14.0,4750.0,10.9,180,13.3,20.4,17.2,,,,,,ABS + EBD + BAS,6,יש,יש,401.8,172.8,150.7,252.0,256,1233.0,1155.0,,,,,195/55R16,45.0,2X4,0,5,1,3
11,סאיק-MG,350,CLASSIC,2015,4,5,קדמית,אוטומטית,4.0,בנזין,4.0,1498.0,106,6000.0,13.8,4500.0,13.9,170,10.6,17.9,14.5,,,,,,ABS + EBD + BAS,6,יש,יש,452.1,178.8,149.2,265.0,458,,1290.0,,,,,205/55R16,55.0,2X4,1,5,1,350
12,סאיק-MG,350,COMFORT,2015,4,5,קדמית,אוטומטית,4.0,בנזין,4.0,1498.0,106,6000.0,13.8,4500.0,13.9,170,10.6,17.9,14.5,,,,,,ABS + EBD + BAS,6,יש,יש,452.1,178.8,149.2,265.0,458,,1290.0,,,,,205/55R16,55.0,2X4,1,5,1,350
13,סאיק-MG,350,DE-LUXE,2015,4,5,קדמית,אוטומטית,6.0,טורבו בנזין,4.0,1498.0,126,5500.0,21.4,2000.0,10.2,200,9.9,14.3,12.3,,,,,,ABS + EBD + BAS,6,יש,יש,452.1,178.8,149.2,265.0,458,,1340.0,,,,,205/55R16,55.0,2X4,1,5,1,350
14,סאיק-MG,350,CLASSIC,2014,4,5,קדמית,אוטומטית,4.0,בנזין,4.0,1498.0,106,6000.0,13.8,4500.0,13.9,170,10.6,17.9,14.5,,,,,,ABS + EBD + BAS,6,יש,יש,452.1,178.8,149.2,265.0,458,,1290.0,,,,,205/55R16,55.0,2X4,1,5,1,350
15,סאיק-MG,350,COMFORT,2014,4,5,קדמית,אוטומטית,4.0,בנזין,4.0,1498.0,106,6000.0,13.8,4500.0,13.9,170,10.6,17.9,14.5,,,,,,ABS + EBD + BAS,6,יש,יש,452.1,178.8,149.2,265.0,458,,1290.0,,,,,205/55R16,55.0,2X4,1,5,1,350
16,סאיק-MG,350,DE-LUXE,2014,4,5,קדמית,אוטומטית,6.0,טורבו בנזין,4.0,1498.0,126,5500.0,21.4,2000.0,10.2,200,9.9,14.3,12.3,,,,,,ABS + EBD + BAS,6,יש,יש,452.1,178.8,149.2,265.0,458,,1340.0,,,,,205/55R16,55.0,2X4,1,5,1,350
17,סאיק-MG,350,GREND DE-LUXE,2013,4,5,קדמית,אוטומטית,4.0,בנזין,4.0,1498.0,105,6000.0,13.8,4500.0,13.9,170,9.9,14.2,12.3,,,,,,ABS + EBD + BAS,6,יש,יש,452.1,178.8,149.2,265.0,458,,1280.0,,,,,205/55R16,55.0,2X4,1,5,1,350
18,סאיק-MG,350,GREND DE-LUXE,2012,4,5,קדמית,אוטומטית,4.0,בנזין,4.0,1498.0,105,6000.0,13.8,4500.0,13.9,170,9.9,14.2,12.3,,,,,,ABS + EBD + BAS,6,יש,אין,452.1,178.8,149.2,265.0,458,,1280.0,,,,,205/55R16,55.0,2X4,1,5,1,350
19,סאיק-MG,550,DE-LUXE,2011,4,5,קדמית,אוטומטית - טיפטרוניק,5.0,טורבו בנזין,4.0,1796.0,161,5500.0,21.9,2500.0,10.8,205,7.3,13.7,10.4,,,,,,ABS + EBD + BAS,6,יש,אין,462.4,182.7,148.0,270.5,452,,,,,,,215/55R16,62.0,2X4,1,5,1,550
20,סאיק-MG,550,DE-LUXE,2010,4,5,קדמית,אוטומטית - טיפטרוניק,5.0,טורבו בנזין,4.0,1796.0,161,5500.0,21.9,2500.0,10.8,205,7.3,13.7,10.4,,,,,,ABS + EBD + BAS,6,יש,אין,462.4,182.7,148.0,270.5,452,,,,,,,215/55R16,62.0,2X4,1,5,1,550
21,סאיק-MG,ZS,""" NET UP S",2022,5,5,קדמית,תמסורת ישירה,,חשמלי,,,177,,28.5,,8.6,175,,,,173.0,50.3,320.0,08:30,00:30,ABS + EBD + BAS,6,יש,יש,432.3,180.9,164.9,258.1,448,1187.0,1685.0,2060.0,375.0,500.0,500.0,215/55R17,,2X4,1,5,4,ZS_missing
22,סאיק-MG,ZS,""" NET UP S",2022,5,5,קדמית,תמסורת ישירה,,חשמלי,,,156,,28.5,,8.6,175,,,,178.0,69.9,440.0,08:30,00:30,ABS + EBD + BAS,6,יש,יש,432.3,180.9,164.9,258.1,448,1187.0,1695.0,2070.0,375.0,500.0,500.0,215/55R17,,2X4,1,5,4,ZS_missing
23,סאיק-MG,ZS,EV  NET S,2021,5,5,קדמית,תמסורת ישירה,,חשמלי,,,143,,36.0,,8.2,140,,,,186.0,45.6,263.0,07:00,00:30,ABS + EBD + BAS,6,יש,יש,431.4,180.9,164.4,257.9,448,1375.0,1607.0,,,,,205/50R16,,2X4,1,5,4,ZS_missing
24,סאיק-MG,ZS,EV  NET UP S,2021,5,5,קדמית,תמסורת ישירה,,חשמלי,,,143,,36.0,,8.2,140,,,,186.0,45.6,263.0,07:00,00:30,ABS + EBD + BAS,6,יש,יש,431.4,180.9,164.4,257.9,448,1375.0,1607.0,,,,,215/50R17,,2X4,1,5,4,ZS_missing
