,make,model,ramat_gimur,year,doors,sitting,ignition,gearbox,gear,engine,piston,capacity,power,loops,moment,loopmoment,acceleration,speed,urban_consumption,intercity_consumption,consumption,electricity_use,battery_capacity,electric_range,home_charging_time,fast_charging_time,brake,airbag,stability,cenairbag,length,width,height,wheel,cargo,chaircargo,selfweight,totalweight,loading,towing_without_brakes,towing_with_brakes,tire,fuel,hanaa_nm,automatic_ind,sitting,engine_cd,n_model
0,סאנגיונג,טיבולי,,2020,5,5,קדמית,אוטומטית - טיפטרוניק,6,בנזין,4,1597,128,6000,16.3,4600,11.0,175.0,10.2,17.5,13.9,,,,,,ABS + EBD + BAS,7,יש,יש,419.5,179.5,159.0,260.0,423.0,1115.0,1375,,,500.0,1000.0,215/45R18,47.0,2X4,1,5,1,טיבולי
1,סאנגיונג,טיבולי,,2019,5,5,קדמית,אוטומטית - טיפטרוניק,6,בנזין,4,1597,128,6000,16.3,4600,11.0,175.0,10.2,17.5,13.9,,,,,,ABS + EBD + BAS,7,יש,יש,419.5,179.5,159.0,260.0,423.0,1115.0,1375,,,500.0,1000.0,215/45R18,47.0,2X4,1,5,1,טיבולי
2,סאנגיונג,טיבולי,,2018,5,5,קדמית,אוטומטית - טיפטרוניק,6,בנזין,4,1597,128,6000,16.3,4600,11.0,175.0,10.2,17.5,13.9,,,,,,ABS + EBD + BAS,7,יש,יש,419.5,179.5,159.0,260.0,423.0,1115.0,1375,,,500.0,1000.0,215/45R18,47.0,2X4,1,5,1,טיבולי
3,סאנגיונג,טיבולי,,2017,5,5,קדמית,אוטומטית - טיפטרוניק,6,בנזין,4,1597,128,6000,16.3,4600,11.0,175.0,10.2,17.5,13.9,,,,,,ABS + EBD + BAS,7,יש,יש,419.5,179.5,159.0,260.0,423.0,1115.0,1375,,,500.0,1000.0,215/45R18,47.0,2X4,1,5,1,טיבולי
4,סאנגיונג,טיבולי,,2016,5,5,קדמית,אוטומטית - טיפטרוניק,6,בנזין,4,1597,128,6000,16.3,4600,11.0,175.0,10.2,17.5,13.9,,,,,,ABS + EBD + BAS,7,יש,יש,419.5,179.5,159.0,260.0,423.0,1115.0,1375,,,500.0,750.0,215/45R18,47.0,2X4,1,5,1,טיבולי
5,סאנגיונג,XLV,,2020,5,5,קדמית,אוטומטית - טיפטרוניק,6,טורבו דיזל,4,1597,115,3400,30.6,1500,12.0,174.0,13.3,20.4,16.9,,,,,,ABS + EBD + BAS,7,יש,יש,444.0,179.8,163.5,260.0,720.0,1294.0,1500,,,,,205/60R16,47.0,2X4,1,5,2,XLV
6,סאנגיונג,XLV,,2019,5,5,קדמית,אוטומטית - טיפטרוניק,6,טורבו דיזל,4,1597,115,3400,30.6,1500,12.0,174.0,13.3,20.4,16.9,,,,,,ABS + EBD + BAS,7,יש,יש,444.0,179.8,163.5,260.0,720.0,1294.0,1500,,,,,205/60R16,47.0,2X4,1,5,2,XLV
7,סאנגיונג,XLV,,2018,5,5,קדמית,אוטומטית - טיפטרוניק,6,טורבו דיזל,4,1597,115,3400,30.6,1500,12.0,174.0,13.3,20.4,16.9,,,,,,ABS + EBD + BAS,7,יש,יש,444.0,179.8,163.5,260.0,720.0,1294.0,1500,,,,,205/60R16,47.0,2X4,1,5,2,XLV
8,סאנגיונג,רודיוס,,2018,5,7,אחורית,אוטומטית - טיפטרוניק,7,טורבו דיזל,4,2157,178,4000,40.7,1400,,187.0,11.2,16.1,13.9,,,,,,ABS + EBD,4,יש,אין,513.0,191.5,185.0,300.0,875.0,1975.0,1995,2750.0,,,,225/65R16,80.0,2X4,1,7,2,רודיוס
9,סאנגיונג,רודיוס,,2018,5,7,אחורית,אוטומטית - טיפטרוניק,7,טורבו דיזל,4,2157,178,4000,40.7,1400,,187.0,11.2,16.1,13.9,,,,,,ABS + EBD,4,יש,אין,513.0,191.5,185.0,300.0,875.0,1975.0,1995,2750.0,,,,225/65R16,80.0,2X4,1,7,2,רודיוס
10,סאנגיונג,רודיוס,,2017,5,7,אחורית,אוטומטית - טיפטרוניק,7,טורבו דיזל,4,2157,178,4000,40.7,1400,,187.0,11.2,16.1,13.9,,,,,,ABS + EBD,4,יש,אין,513.0,191.5,185.0,300.0,875.0,1975.0,1995,2750.0,,,,225/65R16,80.0,2X4,1,7,2,רודיוס
11,סאנגיונג,רודיוס,,2016,5,7,אחורית,אוטומטית - טיפטרוניק,7,טורבו דיזל,4,2157,178,4000,40.7,1400,,187.0,11.2,16.1,13.9,,,,,,ABS + EBD,4,יש,אין,513.0,191.5,185.0,300.0,875.0,1975.0,1995,2750.0,,,,225/65R16,80.0,2X4,1,7,2,רודיוס
12,סאנגיונג,רודיוס,,2015,5,7,אחורית,אוטומטית - טיפטרוניק,5,טורבו דיזל,4,1998,155,3400,36.6,1500,,181.0,10.0,14.2,12.8,,,,,,ABS + EBD,4,יש,אין,513.0,191.5,185.0,300.0,875.0,1975.0,2067,,,,,225/65R16,80.0,2X4,1,7,2,רודיוס
13,סאנגיונג,רודיוס,,2014,5,7,אחורית,אוטומטית - טיפטרוניק,5,טורבו דיזל,4,1998,155,3400,36.6,1500,,181.0,10.0,14.2,12.8,,,,,,ABS + EBD,4,יש,אין,513.0,191.5,185.0,300.0,875.0,1975.0,2067,,,,,225/65R16,80.0,2X4,1,7,2,רודיוס
14,סאנגיונג,רודיוס,,2013,5,7,אחורית,אוטומטית - טיפטרוניק,5,טורבו דיזל,4,1998,155,3400,36.6,1500,,181.0,10.0,14.2,12.8,,,,,,ABS + EBD,4,יש,אין,513.0,191.5,185.0,300.0,875.0,1975.0,1767,,,,,225/65R16,80.0,2X4,1,7,2,רודיוס
15,סאנגיונג,רודיוס,,2012,5,7,אחורית,אוטומטית - טיפטרוניק,5,טורבו דיזל,4,2696,165,4000,34.0,1800,14.4,174.0,8.1,11.6,10.1,,,,,,ABS + EBD,2,יש,אין,512.5,191.5,184.5,300.0,875.0,2585.0,2007,,,,,215/65R16,80.0,2X4,1,7,2,רודיוס
16,סאנגיונג,רודיוס,,2012,5,8,אחורית,אוטומטית - טיפטרוניק,5,טורבו דיזל,4,2696,165,4000,34.0,1800,14.4,174.0,8.1,11.6,10.1,,,,,,ABS + EBD,2,יש,אין,512.5,191.5,184.5,300.0,875.0,2585.0,2007,,,,,215/65R16,80.0,2X4,1,8,2,רודיוס
17,סאנגיונג,רודיוס,,2011,5,7,אחורית,אוטומטית - טיפטרוניק,5,טורבו דיזל,4,2696,165,4000,34.0,1800,14.4,174.0,8.1,11.6,10.1,,,,,,ABS + EBD,2,יש,אין,512.5,191.5,184.5,300.0,875.0,2585.0,2007,,,,,215/65R16,80.0,2X4,1,7,2,רודיוס
18,סאנגיונג,רודיוס,,2010,5,7,אחורית,אוטומטית - טיפטרוניק,5,טורבו דיזל,4,2696,165,4000,34.0,1800,14.4,174.0,8.1,11.6,10.1,,,,,,ABS + EBD,2,יש,אין,512.5,191.5,184.5,300.0,875.0,2585.0,2007,,,,,215/65R16,80.0,2X4,1,7,2,רודיוס
19,סאנגיונג,רודיוס,,2009,5,7,אחורית,אוטומטית - טיפטרוניק,5,טורבו דיזל,4,2696,165,4000,34.0,1800,14.4,174.0,8.1,11.6,10.1,,,,,,ABS + EBD,2,יש,אין,512.5,191.5,184.5,300.0,875.0,2585.0,2007,,,,,215/65R16,80.0,2X4,1,7,2,רודיוס
20,סאנגיונג,רודיוס,,2008,5,7,אחורית,אוטומטית - טיפטרוניק,5,טורבו דיזל,4,2696,165,4000,34.0,1800,14.4,174.0,8.1,11.6,10.1,,,,,,ABS + EBD,2,יש,אין,512.5,191.5,184.5,300.0,875.0,2585.0,2007,,,,,215/65R16,80.0,2X4,1,7,2,רודיוס
21,סאנגיונג,רודיוס,,2007,5,7,אחורית,אוטומטית - טיפטרוניק,5,טורבו דיזל,4,2696,165,4000,34.0,1800,14.4,174.0,8.1,11.6,10.1,,,,,,ABS + EBD,2,יש,אין,512.5,191.5,184.5,300.0,875.0,2585.0,2007,,,,,215/65R16,80.0,2X4,1,7,2,רודיוס
22,סאנגיונג,רודיוס,,2006,5,7,אחורית,אוטומטית - טיפטרוניק,5,טורבו דיזל,4,2696,165,4000,34.0,1800,14.4,174.0,8.1,11.6,10.1,,,,,,ABS + EBD,2,יש,אין,512.5,191.5,184.5,300.0,875.0,2585.0,2007,,,,,215/65R16,80.0,2X4,1,7,2,רודיוס
23,סאנגיונג,רודיוס,,2005,5,7,אחורית,אוטומטית - טיפטרוניק,5,טורבו דיזל,4,2696,165,4000,34.0,1800,14.4,174.0,8.1,11.6,10.1,,,,,,ABS + EBD,2,יש,אין,512.5,191.5,184.5,300.0,875.0,2585.0,2007,,,,,215/65R16,80.0,2X4,1,7,2,רודיוס
24,סאנגיונג,אקטיון,,2010,5,5,כפולה (4X4),אוטומטית - טיפטרוניק,6,בנזין,4,2295,150,5500,21.8,3500,13.5,164.0,,,8.1,,,,,,ABS,6,יש,אין,445.5,188.0,173.5,274.0,,,1892,,,,,225/75R16,75.0,4X4,1,5,1,אקטיון
25,סאנגיונג,אקטיון,,2009,5,5,כפולה (4X4),אוטומטית - טיפטרוניק,6,בנזין,4,2295,150,5500,21.8,3500,13.5,164.0,,,8.1,,,,,,ABS,6,יש,אין,445.5,188.0,173.5,274.0,,,1892,,,,,225/75R16,75.0,4X4,1,5,1,אקטיון
26,סאנגיונג,אקטיון,,2008,5,5,כפולה (4X4),אוטומטית - טיפטרוניק,6,בנזין,4,2295,150,5500,21.8,3500,13.5,164.0,,,8.1,,,,,,ABS,6,יש,אין,445.5,188.0,173.5,274.0,,,1892,,,,,225/75R16,75.0,4X4,1,5,1,אקטיון
27,סאנגיונג,אקטיון,,2007,5,5,כפולה (4X4),אוטומטית - טיפטרוניק,6,בנזין,4,2295,150,5500,21.8,3500,13.5,164.0,,,8.1,,,,,,ABS,6,יש,אין,445.5,188.0,173.5,274.0,,,1892,,,,,225/75R16,75.0,4X4,1,5,1,אקטיון
28,סאנגיונג,קיירון,,2010,5,5,כפולה (4X4),אוטומטית - טיפטרוניק,6,טורבו דיזל,4,1998,141,4000,31.6,1800,16.2,167.0,,,10.6,,,,,,ABS,2,יש,אין,466.0,188.0,175.5,274.0,,,1956,,,,,225/75R16,80.0,4X4,1,5,2,קיירון
29,סאנגיונג,קיירון,,2009,5,5,כפולה (4X4),אוטומטית - טיפטרוניק,6,טורבו דיזל,4,1998,141,4000,31.6,1800,16.2,167.0,,,10.6,,,,,,ABS,2,יש,אין,466.0,188.0,175.5,274.0,,,1956,,,,,225/75R16,80.0,4X4,1,5,2,קיירון
30,סאנגיונג,קיירון,,2008,5,5,כפולה (4X4),אוטומטית - טיפטרוניק,6,טורבו דיזל,4,1998,141,4000,31.6,1800,16.2,167.0,,,10.6,,,,,,ABS,2,יש,אין,466.0,188.0,175.5,274.0,,,1956,,,,,225/75R16,80.0,4X4,1,5,2,קיירון
31,סאנגיונג,קיירון,,2007,5,5,כפולה (4X4),אוטומטית - טיפטרוניק,6,טורבו דיזל,4,1998,141,4000,31.6,1800,16.2,167.0,,,10.6,,,,,,ABS,2,יש,אין,466.0,188.0,175.5,274.0,,,1956,,,,,225/75R16,80.0,4X4,1,5,2,קיירון
32,סאנגיונג,קיירון,,2006,5,5,כפולה (4X4),אוטומטית - טיפטרוניק,6,טורבו דיזל,4,1998,141,4000,31.6,1800,16.2,167.0,,,10.6,,,,,,ABS,2,יש,אין,466.0,188.0,175.5,274.0,,,1956,,,,,225/75R16,80.0,4X4,1,5,2,קיירון
33,סאנגיונג,קוראנדו,-,2022,5,5,קדמית,אוטומטית - טיפטרוניק,6,טורבו דיזל,4,1597,136,4000,33.0,2500,12.0,181.0,,,15.6,,,,,,ABS + EBD + BAS,6,יש,יש,445.0,187.0,162.9,267.5,407.0,,1610,2160.0,550.0,750.0,2000.0,225/60R17,47.0,2X4,1,5,2,קוראנדו
34,סאנגיונג,קוראנדו,-,2021,5,5,קדמית,אוטומטית - טיפטרוניק,6,טורבו בנזין,4,1497,163,5000,28.5,1500,12.0,193.0,,,12.6,,,,,,ABS + EBD + BAS,6,יש,יש,445.0,187.0,162.9,267.5,407.0,,1510,2040.0,530.0,500.0,1500.0,235/55R18,50.0,2X4,1,5,1,קוראנדו
35,סאנגיונג,קוראנדו,-,2021,5,5,קדמית,אוטומטית - טיפטרוניק,6,טורבו דיזל,4,1597,136,4000,33.0,2500,12.0,181.0,,,15.6,,,,,,ABS + EBD + BAS,6,יש,יש,445.0,187.0,162.9,267.5,407.0,,1610,2160.0,550.0,750.0,2000.0,225/60R17,47.0,2X4,1,5,2,קוראנדו
36,סאנגיונג,קוראנדו,-,2020,5,5,קדמית,אוטומטית - טיפטרוניק,6,טורבו בנזין,4,1497,163,5000,28.5,1500,12.0,193.0,12.0,15.6,14.0,,,,,,ABS + EBD + BAS,6,יש,יש,445.0,187.0,162.9,267.5,407.0,,1510,2040.0,530.0,500.0,1500.0,235/55R18,50.0,2X4,1,5,1,קוראנדו
37,סאנגיונג,קוראנדו,-,2020,5,5,קדמית,אוטומטית - טיפטרוניק,6,טורבו דיזל,4,1597,136,4000,33.0,2500,12.0,181.0,17.2,20.4,18.8,,,,,,ABS + EBD + BAS,6,יש,יש,445.0,187.0,162.9,267.5,407.0,,1610,2160.0,550.0,750.0,2000.0,225/60R17,47.0,2X4,1,5,2,קוראנדו
38,סאנגיונג,קוראנדו,,2013,5,5,קדמית,אוטומטית - טיפטרוניק,6,טורבו דיזל,4,1998,175,4000,36.7,2000,10.8,186.0,10.6,16.4,13.7,,,,,,ABS + EBD + BAS,6,יש,יש,441.0,183.0,171.0,265.0,404.0,,2180,,,,,225/60R17,,2X4,1,5,2,קוראנדו
39,סאנגיונג,קוראנדו,,2013,5,5,כפולה (4X4),אוטומטית - טיפטרוניק,6,טורבו דיזל,4,1998,175,4000,36.7,2000,10.8,186.0,10.4,15.8,13.3,,,,,,ABS + EBD + BAS,6,יש,יש,441.0,183.0,171.0,265.0,404.0,,2260,,,,,225/60R17,,4X4,1,5,2,קוראנדו
40,סאנגיונג,קוראנדו,,2012,5,5,קדמית,אוטומטית - טיפטרוניק,6,טורבו דיזל,4,1998,175,4000,36.7,2000,10.8,186.0,10.6,16.4,13.7,,,,,,ABS + EBD + BAS,6,יש,יש,441.0,183.0,171.0,265.0,404.0,,2180,,,,,225/60R17,,2X4,1,5,2,קוראנדו
41,סאנגיונג,קוראנדו,,2012,5,5,כפולה (4X4),אוטומטית - טיפטרוניק,6,טורבו דיזל,4,1998,175,4000,36.7,2000,10.8,186.0,10.4,15.8,13.3,,,,,,ABS + EBD + BAS,6,יש,יש,441.0,183.0,171.0,265.0,404.0,,2260,,,,,225/60R17,,4X4,1,5,2,קוראנדו
42,סאנגיונג,קוראנדו,,2011,5,5,כפולה (4X4),אוטומטית - טיפטרוניק,6,טורבו דיזל,4,1998,175,4000,36.7,2000,10.8,186.0,10.4,15.8,13.3,,,,,,ABS + EBD + BAS,6,יש,יש,441.0,183.0,171.0,265.0,404.0,,2260,,,,,225/60R17,,4X4,1,5,2,קוראנדו
43,סאנגיונג,קוראנדו,,2011,5,5,קדמית,אוטומטית - טיפטרוניק,6,טורבו דיזל,4,1998,175,4000,36.7,2000,10.8,186.0,10.6,16.4,13.7,,,,,,ABS + EBD + BAS,6,יש,יש,441.0,183.0,171.0,265.0,404.0,,2180,,,,,225/60R17,,2X4,1,5,2,קוראנדו
