,make,model,ramat_gimur,year,doors,sitting,ignition,gearbox,gear,engine,piston,capacity,power,loops,moment,loopmoment,acceleration,speed,urban_consumption,intercity_consumption,consumption,electricity_use,battery_capacity,electric_range,home_charging_time,fast_charging_time,brake,airbag,stability,cenairbag,length,width,height,wheel,cargo,chaircargo,selfweight,totalweight,loading,towing_without_brakes,towing_with_brakes,tire,fuel,hanaa_nm,automatic_ind,sitting,engine_cd,n_model
0,סובארו,B3,RX,2012,5,5,קדמית,אוטומטית - טיפטרוניק,4.0,בנזין,4,1498,107,6000,14.5,3200,14.3,167,10.3,16.1,13.3,,,,,,ABS + EBD + BAS,6,יש,אין,441.5,174.0,147.5,262.0,301.0,1216.0,1270,,,650.0,750.0,195/65R15,60.0,2X4,1,5,1,אימפרזה
1,סובארו,B3,RXI,2012,5,5,קדמית,אוטומטית - טיפטרוניק,4.0,בנזין,4,1498,107,6000,14.5,3200,14.3,167,10.3,16.1,13.3,,,,,,ABS + EBD + BAS,6,יש,אין,441.5,174.0,147.5,262.0,301.0,1216.0,1270,,,650.0,750.0,195/65R15,60.0,2X4,1,5,1,אימפרזה
2,סובארו,B3,RX,2011,5,5,כפולה (4X4),ידנית,5.0,בנזין,4,1994,150,6400,20.0,3200,9.6,193,8.7,14.4,11.6,,,,,,ABS + EBD + BAS,6,יש,אין,441.5,174.0,147.5,262.0,301.0,1216.0,1345,,,650.0,750.0,205/55R16,60.0,4X4,0,5,1,אימפרזה
3,סובארו,B3,SPORT,2011,5,5,כפולה (4X4),ידנית,5.0,בנזין,4,1994,150,6400,20.0,3200,9.6,193,8.7,14.4,11.6,,,,,,ABS + EBD + BAS,6,יש,אין,441.5,174.0,147.5,262.0,301.0,1216.0,1355,,,650.0,750.0,205/50R17,60.0,4X4,0,5,1,אימפרזה
4,סובארו,B3,SPORT,2011,5,5,כפולה (4X4),אוטומטית - טיפטרוניק,4.0,בנזין,4,1994,150,6400,20.0,3200,11.6,182,8.8,15.1,11.9,,,,,,ABS + EBD + BAS,6,יש,אין,441.5,174.0,147.5,262.0,301.0,1216.0,1365,,,650.0,750.0,205/50R17,60.0,4X4,1,5,1,אימפרזה
5,סובארו,B3,RX,2011,5,5,קדמית,אוטומטית - טיפטרוניק,4.0,בנזין,4,1498,107,6000,14.5,3200,14.3,167,10.3,16.1,13.3,,,,,,ABS + EBD + BAS,6,יש,אין,441.5,174.0,147.5,262.0,301.0,1216.0,1270,,,650.0,750.0,195/65R15,60.0,2X4,1,5,1,אימפרזה
6,סובארו,B3,RXI,2011,5,5,קדמית,אוטומטית - טיפטרוניק,4.0,בנזין,4,1498,107,6000,14.5,3200,14.3,167,10.3,16.1,13.3,,,,,,ABS + EBD + BAS,6,יש,אין,441.5,174.0,147.5,262.0,301.0,1216.0,1270,,,650.0,750.0,195/65R15,60.0,2X4,1,5,1,אימפרזה
7,סובארו,B3,RX,2011,5,5,כפולה (4X4),אוטומטית - טיפטרוניק,4.0,בנזין,4,1994,150,6400,20.0,3200,11.6,182,8.8,15.1,11.9,,,,,,ABS + EBD + BAS,6,יש,אין,441.5,174.0,147.5,262.0,301.0,1216.0,1360,,,650.0,750.0,205/55R16,60.0,4X4,1,5,1,אימפרזה
8,סובארו,B3,RX,2010,5,5,קדמית,ידנית,5.0,בנזין,4,1498,107,6000,14.5,3200,13.2,175,10.4,16.6,13.3,,,,,,ABS + EBD + BAS,6,יש,אין,441.5,174.0,147.5,262.0,301.0,1216.0,1235,,,650.0,750.0,195/65R15,60.0,2X4,0,5,1,אימפרזה
9,סובארו,B3,RXI,2010,5,5,קדמית,ידנית,5.0,בנזין,4,1498,107,6000,14.5,3200,13.2,175,10.4,16.6,13.3,,,,,,ABS + EBD + BAS,6,יש,אין,441.5,174.0,147.5,262.0,301.0,1216.0,1235,,,650.0,750.0,195/65R15,60.0,2X4,0,5,1,אימפרזה
