,make,model,ramat_gimur,year,doors,sitting,ignition,gearbox,gear,engine,piston,capacity,power,loops,moment,loopmoment,acceleration,speed,urban_consumption,intercity_consumption,consumption,electricity_use,battery_capacity,electric_range,home_charging_time,fast_charging_time,brake,airbag,stability,cenairbag,length,width,height,wheel,cargo,chaircargo,selfweight,totalweight,loading,towing_without_brakes,towing_with_brakes,tire,fuel,hanaa_nm,automatic_ind,sitting,engine_cd,n_model
0,סוזוקי,אלטו,,2015,5,4,קדמית,אוטומטית,4.0,בנזין,3,996,67,6000,9.2,3400,17.0,150,15.3,23.2,19.6,,,,,,ABS + EBD + BAS,6,יש,אין,350.0,160.0,147.0,236.0,129,367.0,895,,,,,155/65R14,35,2X4,1,4,1,אלטו
1,סוזוקי,אלטו,,2015,5,4,קדמית,ידנית,5.0,בנזין,3,996,67,6000,9.2,3400,14.0,155,19.2,26.3,23.2,,,,,,ABS + EBD + BAS,6,יש,אין,350.0,160.0,147.0,236.0,129,367.0,855,,,,,155/65R14,35,2X4,0,4,1,אלטו
2,סוזוקי,אלטו,,2014,5,4,קדמית,אוטומטית,4.0,בנזין,3,996,67,6000,9.2,3400,17.0,150,15.3,23.2,19.6,,,,,,ABS + EBD + BAS,6,יש,אין,350.0,160.0,147.0,236.0,129,367.0,895,,,,,155/65R14,35,2X4,1,4,1,אלטו
3,סוזוקי,אלטו,,2014,5,4,קדמית,ידנית,5.0,בנזין,3,996,67,6000,9.2,3400,14.0,155,19.2,26.3,23.2,,,,,,ABS + EBD + BAS,6,יש,אין,350.0,160.0,147.0,236.0,129,367.0,855,,,,,155/65R14,35,2X4,0,4,1,אלטו
4,סוזוקי,אלטו,,2013,5,4,קדמית,ידנית,5.0,בנזין,3,996,67,6000,9.2,3400,14.0,155,18.1,26.3,22.7,,,,,,ABS + EBD + BAS,6,יש,אין,350.0,160.0,147.0,236.0,129,367.0,855,,,,,155/65/14,35,2X4,0,4,1,אלטו
5,סוזוקי,אלטו,,2013,5,4,קדמית,אוטומטית,4.0,בנזין,3,996,67,6000,9.2,3400,17.0,150,14.9,22.2,19.2,,,,,,ABS + EBD + BAS,6,יש,אין,350.0,160.0,147.0,236.0,129,367.0,880,,,,,155/65R14,35,2X4,1,4,1,אלטו
6,סוזוקי,אלטו,,2012,5,4,קדמית,אוטומטית,4.0,בנזין,3,996,67,6000,9.2,3400,17.0,150,14.9,22.2,19.2,,,,,,ABS + EBD + BAS,4,יש,אין,350.0,160.0,147.0,236.0,129,367.0,880,,,,,155/65R14,35,2X4,1,4,1,אלטו
7,סוזוקי,אלטו,,2012,5,4,קדמית,ידנית,5.0,בנזין,3,996,67,6000,9.2,3400,14.0,155,18.1,26.3,22.7,,,,,,ABS + EBD + BAS,4,יש,אין,350.0,160.0,147.0,236.0,129,367.0,855,,,,,155/65/14,35,2X4,0,4,1,אלטו
8,סוזוקי,אלטו,,2011,5,4,קדמית,אוטומטית,4.0,בנזין,3,996,67,6000,9.2,3400,17.0,150,14.9,22.2,19.2,,,,,,ABS + EBD + BAS,4,יש,אין,350.0,160.0,147.0,236.0,129,367.0,880,,,,,155/65R14,35,2X4,1,4,1,אלטו
9,סוזוקי,אלטו,,2011,5,4,קדמית,ידנית,5.0,בנזין,3,996,67,6000,9.2,3400,14.0,155,18.1,26.3,22.7,,,,,,ABS + EBD + BAS,4,יש,אין,350.0,160.0,147.0,236.0,129,367.0,855,,,,,155/65/14,35,2X4,0,4,1,אלטו
10,סוזוקי,אלטו,,2010,5,4,קדמית,אוטומטית,4.0,בנזין,3,996,67,6000,9.2,3400,17.0,150,14.9,22.2,19.2,,,,,,ABS + EBD + BAS,4,יש,אין,350.0,160.0,147.0,236.0,129,367.0,880,,,,,155/65R14,35,2X4,1,4,1,אלטו
11,סוזוקי,אלטו,,2010,5,4,קדמית,ידנית,5.0,בנזין,3,996,67,6000,9.2,3400,14.0,155,18.1,26.3,22.7,,,,,,ABS + EBD + BAS,4,יש,אין,350.0,160.0,147.0,236.0,129,367.0,855,,,,,155/65/14,35,2X4,0,4,1,אלטו
12,סוזוקי,אלטו,,2009,5,4,קדמית,אוטומטית,4.0,בנזין,3,996,67,6000,9.2,3400,17.0,150,14.9,22.2,19.2,,,,,,ABS + EBD + BAS,4,יש,אין,350.0,160.0,147.0,236.0,129,367.0,880,,,,,155/65R14,35,2X4,1,4,1,אלטו
13,סוזוקי,אלטו,,2009,5,4,קדמית,ידנית,5.0,בנזין,3,996,67,6000,9.2,3400,14.0,155,18.1,26.3,22.7,,,,,,ABS + EBD + BAS,4,יש,אין,350.0,160.0,147.0,236.0,129,367.0,855,,,,,155/65/14,35,2X4,0,4,1,אלטו
14,סוזוקי,סלריו,,2019,5,5,קדמית,אוטומטית - רובוטית מצמד יחיד,5.0,בנזין,3,998,68,6000,9.2,3500,16.4,154,18.8,27.0,23.2,,,,,,ABS + EBD + BAS,6,יש,יש,360.0,160.0,154.0,242.5,254,726.0,840,,,400.0,400.0,165/65R14,35,2X4,1,5,1,סלריו
15,סוזוקי,סלריו,,2018,5,5,קדמית,ידנית,5.0,בנזין,3,998,68,6000,9.2,3500,13.5,154,19.6,27.0,23.2,,,,,,ABS + EBD + BAS,6,יש,יש,360.0,160.0,154.0,242.5,254,726.0,835,,,400.0,400.0,165/65R14,35,2X4,0,5,1,סלריו
16,סוזוקי,סלריו,,2018,5,5,קדמית,אוטומטית - רובוטית מצמד יחיד,5.0,בנזין,3,998,68,6000,9.2,3500,16.4,154,18.8,27.0,23.2,,,,,,ABS + EBD + BAS,6,יש,יש,360.0,160.0,154.0,242.5,254,726.0,840,,,400.0,400.0,165/65R14,35,2X4,1,5,1,סלריו
