,make,model,ramat_gimur,year,doors,sitting,ignition,gearbox,gear,engine,piston,capacity,power,loops,moment,loopmoment,acceleration,speed,urban_consumption,intercity_consumption,consumption,electricity_use,battery_capacity,electric_range,home_charging_time,fast_charging_time,brake,airbag,stability,cenairbag,length,width,height,wheel,cargo,chaircargo,selfweight,totalweight,loading,towing_without_brakes,towing_with_brakes,tire,fuel,hanaa_nm,automatic_ind,sitting,engine_cd,n_model
0,סיאט,מי,STYLE,2018,3,4,קדמית,ידנית,5,בנזין,3,999,75,6200,9.5,3000,13.2,171,17.0,25.0,21.2,,,,,,ABS + EBD + BAS,4,יש,יש,355.7,164.5,147.8,242.0,251,959.0,854.0,,,,,165/70R14,35,2X4,0,4,1,מי
1,סיאט,מי,STYLE,2018,5,4,קדמית,ידנית,5,בנזין,3,999,75,6200,9.5,3000,13.2,171,17.0,25.0,21.2,,,,,,ABS + EBD + BAS,4,יש,יש,355.7,164.5,147.8,242.0,251,959.0,854.0,,,,,165/70R14,35,2X4,0,4,1,מי
2,סיאט,מי,STYLE,2018,3,4,קדמית,אוטומטית - רובוטית מצמד יחיד,5,בנזין,3,999,75,6200,9.5,3000,13.9,171,18.2,25.0,22.2,,,,,,ABS + EBD + BAS,4,יש,יש,355.7,164.5,147.8,242.0,251,959.0,857.0,,,,,165/70R14,35,2X4,1,4,1,מי
3,סיאט,מי,STYLE,2018,5,4,קדמית,אוטומטית - רובוטית מצמד יחיד,5,בנזין,3,999,75,6200,9.5,3000,13.9,171,18.2,25.0,22.2,,,,,,ABS + EBD + BAS,4,יש,יש,355.7,164.5,147.8,242.0,251,959.0,857.0,,,,,165/70R14,35,2X4,1,4,1,מי
4,סיאט,מי,STYLE,2017,3,4,קדמית,ידנית,5,בנזין,3,999,75,6200,9.5,3000,13.2,171,17.0,25.0,21.2,,,,,,ABS + EBD + BAS,4,יש,יש,355.7,164.5,147.8,242.0,251,959.0,854.0,,,,,165/70R14,35,2X4,0,4,1,מי
5,סיאט,מי,STYLE,2017,5,4,קדמית,ידנית,5,בנזין,3,999,75,6200,9.5,3000,13.2,171,17.0,25.0,21.2,,,,,,ABS + EBD + BAS,4,יש,יש,355.7,164.5,147.8,242.0,251,959.0,854.0,,,,,165/70R14,35,2X4,0,4,1,מי
6,סיאט,מי,STYLE,2017,3,4,קדמית,אוטומטית - רובוטית מצמד יחיד,5,בנזין,3,999,75,6200,9.5,3000,13.9,171,18.2,25.0,22.2,,,,,,ABS + EBD + BAS,4,יש,יש,355.7,164.5,147.8,242.0,251,959.0,857.0,,,,,165/70R14,35,2X4,1,4,1,מי
7,סיאט,מי,STYLE,2017,5,4,קדמית,אוטומטית - רובוטית מצמד יחיד,5,בנזין,3,999,75,6200,9.5,3000,13.9,171,18.2,25.0,22.2,,,,,,ABS + EBD + BAS,4,יש,יש,355.7,164.5,147.8,242.0,251,959.0,857.0,,,,,165/70R14,35,2X4,1,4,1,מי
8,סיאט,מי,STYLE,2016,3,4,קדמית,ידנית,5,בנזין,3,999,75,6200,9.5,3000,13.2,171,17.0,25.0,21.2,,,,,,ABS + EBD + BAS,4,יש,יש,355.7,164.5,147.8,242.0,251,959.0,854.0,,,,,165/70R14,35,2X4,0,4,1,מי
9,סיאט,מי,STYLE,2016,5,4,קדמית,ידנית,5,בנזין,3,999,75,6200,9.5,3000,13.2,171,17.0,25.0,21.2,,,,,,ABS + EBD + BAS,4,יש,יש,355.7,164.5,147.8,242.0,251,959.0,854.0,,,,,165/70R14,35,2X4,0,4,1,מי
10,סיאט,מי,STYLE,2016,3,4,קדמית,אוטומטית - רובוטית מצמד יחיד,5,בנזין,3,999,75,6200,9.5,3000,13.9,171,18.2,25.0,22.2,,,,,,ABS + EBD + BAS,4,יש,יש,355.7,164.5,147.8,242.0,251,959.0,857.0,,,,,165/70R14,35,2X4,1,4,1,מי
11,סיאט,מי,STYLE,2016,5,4,קדמית,אוטומטית - רובוטית מצמד יחיד,5,בנזין,3,999,75,6200,9.5,3000,13.9,171,18.2,25.0,22.2,,,,,,ABS + EBD + BAS,4,יש,יש,355.7,164.5,147.8,242.0,251,959.0,857.0,,,,,165/70R14,35,2X4,1,4,1,מי
12,סיאט,מי,STYLE,2015,3,4,קדמית,ידנית,5,בנזין,3,999,75,6200,9.5,3000,13.2,171,17.0,25.0,21.2,,,,,,ABS + EBD + BAS,4,יש,יש,355.7,164.5,147.8,242.0,251,959.0,854.0,,,,,165/70R14,35,2X4,0,4,1,מי
13,סיאט,מי,STYLE,2015,5,4,קדמית,ידנית,5,בנזין,3,999,75,6200,9.5,3000,13.2,171,17.0,25.0,21.2,,,,,,ABS + EBD + BAS,4,יש,יש,355.7,164.5,147.8,242.0,251,959.0,854.0,,,,,165/70R14,35,2X4,0,4,1,מי
14,סיאט,מי,STYLE,2015,3,4,קדמית,אוטומטית - רובוטית מצמד יחיד,5,בנזין,3,999,75,6200,9.5,3000,13.9,171,18.2,25.0,22.2,,,,,,ABS + EBD + BAS,4,יש,יש,355.7,164.5,147.8,242.0,251,959.0,857.0,,,,,165/70R14,35,2X4,1,4,1,מי
15,סיאט,מי,STYLE,2015,5,4,קדמית,אוטומטית - רובוטית מצמד יחיד,5,בנזין,3,999,75,6200,9.5,3000,13.9,171,18.2,25.0,22.2,,,,,,ABS + EBD + BAS,4,יש,יש,355.7,164.5,147.8,242.0,251,959.0,857.0,,,,,165/70R14,35,2X4,1,4,1,מי
16,סיאט,מי,STYLE,2014,3,4,קדמית,ידנית,5,בנזין,3,999,75,6200,9.5,3000,13.2,171,17.0,25.0,21.2,,,,,,ABS + EBD + BAS,4,יש,יש,355.7,164.5,147.8,242.0,251,959.0,854.0,,,,,165/70R14,35,2X4,0,4,1,מי
17,סיאט,מי,STYLE,2014,5,4,קדמית,ידנית,5,בנזין,3,999,75,6200,9.5,3000,13.2,171,17.0,25.0,21.2,,,,,,ABS + EBD + BAS,4,יש,יש,355.7,164.5,147.8,242.0,251,959.0,854.0,,,,,165/70R14,35,2X4,0,4,1,מי
18,סיאט,מי,STYLE,2014,3,4,קדמית,אוטומטית - רובוטית מצמד יחיד,5,בנזין,3,999,75,6200,9.5,3000,13.9,171,18.2,25.0,22.2,,,,,,ABS + EBD + BAS,4,יש,יש,355.7,164.5,147.8,242.0,251,959.0,857.0,,,,,165/70R14,35,2X4,1,4,1,מי
19,סיאט,מי,STYLE,2014,5,4,קדמית,אוטומטית - רובוטית מצמד יחיד,5,בנזין,3,999,75,6200,9.5,3000,13.9,171,18.2,25.0,22.2,,,,,,ABS + EBD + BAS,4,יש,יש,355.7,164.5,147.8,242.0,251,959.0,857.0,,,,,165/70R14,35,2X4,1,4,1,מי
20,סיאט,מי,STYLE,2013,3,4,קדמית,ידנית,5,בנזין,3,999,75,6200,9.5,3000,13.2,171,17.0,25.0,21.2,,,,,,ABS + EBD + BAS,4,יש,יש,355.7,164.5,147.8,242.0,251,959.0,854.0,,,,,165/70R14,35,2X4,0,4,1,מי
21,סיאט,מי,STYLE,2013,5,4,קדמית,ידנית,5,בנזין,3,999,75,6200,9.5,3000,13.2,171,17.0,25.0,21.2,,,,,,ABS + EBD + BAS,4,יש,יש,355.7,164.5,147.8,242.0,251,959.0,854.0,,,,,165/70R14,35,2X4,0,4,1,מי
22,סיאט,מי,STYLE,2013,3,4,קדמית,אוטומטית - רובוטית מצמד יחיד,5,בנזין,3,999,75,6200,9.5,3000,13.9,171,18.2,25.0,22.2,,,,,,ABS + EBD + BAS,4,יש,יש,355.7,164.5,147.8,242.0,251,959.0,857.0,,,,,165/70R14,35,2X4,1,4,1,מי
