,make,model,ramat_gimur,year,doors,sitting,ignition,gearbox,gear,engine,piston,capacity,power,loops,moment,loopmoment,acceleration,speed,urban_consumption,intercity_consumption,consumption,electricity_use,battery_capacity,electric_range,home_charging_time,fast_charging_time,brake,airbag,stability,cenairbag,length,width,height,wheel,cargo,chaircargo,selfweight,totalweight,loading,towing_without_brakes,towing_with_brakes,tire,fuel,hanaa_nm,automatic_ind,sitting,engine_cd,n_model
0,סיטרואן,C1,FEEL,2019,5,4,קדמית,ידנית,5.0,בנזין,3.0,998.0,72,6000.0,9.5,4000.0,14.3,155.0,20.0,27.7,24.3,,,,,,ABS + EBD,6,יש,יש,346.6,161.5,146.0,234.0,196.0,780.0,840.0,,,,,165/65R14,35.0,2X4,0,4,1,C1
1,סיטרואן,C1,FEEL,2019,5,4,קדמית,אוטומטית - רובוטית מצמד יחיד,5.0,בנזין,3.0,998.0,72,6000.0,9.5,4000.0,14.6,157.0,20.0,26.3,23.8,,,,,,ABS + EBD,6,יש,יש,346.6,161.5,146.0,234.0,196.0,780.0,860.0,,,,,165/65R14,35.0,2X4,1,4,1,C1
2,סיטרואן,C1,AIRSCAPE,2019,5,4,קדמית,אוטומטית - רובוטית מצמד יחיד,5.0,בנזין,3.0,998.0,72,6000.0,9.5,4000.0,14.6,157.0,20.0,26.3,23.8,,,,,,ABS + EBD,6,יש,יש,346.6,161.5,146.0,234.0,196.0,780.0,860.0,,,,,165/65R14,35.0,2X4,1,4,1,C1
3,סיטרואן,C1,FEEL,2018,5,4,קדמית,ידנית,5.0,בנזין,3.0,998.0,72,6000.0,9.5,4000.0,14.3,155.0,20.0,27.7,24.3,,,,,,ABS + EBD,6,יש,יש,346.6,161.5,146.0,234.0,196.0,780.0,840.0,,,,,165/65R14,35.0,2X4,0,4,1,C1
4,סיטרואן,C1,FEEL,2018,5,4,קדמית,אוטומטית - רובוטית מצמד יחיד,5.0,בנזין,3.0,998.0,72,6000.0,9.5,4000.0,14.6,157.0,20.0,26.3,23.8,,,,,,ABS + EBD,6,יש,יש,346.6,161.5,146.0,234.0,196.0,780.0,860.0,,,,,165/65R14,35.0,2X4,1,4,1,C1
5,סיטרואן,C1,AIRSCAPE,2018,5,4,קדמית,אוטומטית - רובוטית מצמד יחיד,5.0,בנזין,3.0,998.0,72,6000.0,9.5,4000.0,14.6,157.0,20.0,26.3,23.8,,,,,,ABS + EBD,6,יש,יש,346.6,161.5,146.0,234.0,196.0,780.0,860.0,,,,,165/65R14,35.0,2X4,1,4,1,C1
6,סיטרואן,C1,LIVE,2018,5,4,קדמית,ידנית,5.0,בנזין,3.0,998.0,72,6000.0,9.5,4000.0,14.3,155.0,20.0,27.7,24.3,,,,,,ABS + EBD,6,יש,יש,346.6,161.5,146.0,234.0,196.0,780.0,840.0,,,,,165/65R14,35.0,2X4,0,4,1,C1
7,סיטרואן,C1,FEEL,2017,5,4,קדמית,ידנית,5.0,בנזין,3.0,998.0,69,6000.0,9.7,4800.0,14.3,155.0,20.0,27.7,24.3,,,,,,ABS + EBD,6,יש,יש,346.6,161.5,146.0,234.0,196.0,780.0,840.0,,,,,165/65R14,35.0,2X4,0,4,1,C1
8,סיטרואן,C1,FEEL,2017,5,4,קדמית,אוטומטית - רובוטית מצמד יחיד,5.0,בנזין,3.0,998.0,69,6000.0,9.7,4800.0,14.6,157.0,20.0,26.3,23.8,,,,,,ABS + EBD,6,יש,יש,346.6,161.5,146.0,234.0,196.0,780.0,860.0,,,,,165/65R14,35.0,2X4,1,4,1,C1
9,סיטרואן,C1,AIRSCAPE,2017,5,4,קדמית,אוטומטית - רובוטית מצמד יחיד,5.0,בנזין,3.0,998.0,69,6000.0,9.7,4800.0,14.6,157.0,20.0,26.3,23.8,,,,,,ABS + EBD,6,יש,יש,346.6,161.5,146.0,234.0,196.0,780.0,860.0,,,,,165/65R14,35.0,2X4,1,4,1,C1
10,סיטרואן,C1,LIVE,2017,5,4,קדמית,ידנית,5.0,בנזין,3.0,998.0,69,6000.0,9.7,4800.0,14.3,155.0,20.0,27.7,24.3,,,,,,ABS + EBD,6,יש,יש,346.6,161.5,146.0,234.0,196.0,780.0,840.0,,,,,165/65R14,35.0,2X4,0,4,1,C1
