,make,model,ramat_gimur,year,doors,sitting,ignition,gearbox,gear,engine,piston,capacity,power,loops,moment,loopmoment,acceleration,speed,urban_consumption,intercity_consumption,consumption,electricity_use,battery_capacity,electric_range,home_charging_time,fast_charging_time,brake,airbag,stability,cenairbag,length,width,height,wheel,cargo,chaircargo,selfweight,totalweight,loading,towing_without_brakes,towing_with_brakes,tire,fuel,hanaa_nm,automatic_ind,sitting,engine_cd,n_model
0,סמארט,פורטו,LAUNCH EDITION,2019,3,2,אחורית,אוטומטית - רובוטית כפולת מצמדים,6,בנזין,3,999,71,6000,9.3,2850,15.1,151,21.3,27.0,24.4,,,,,,ABS,4,יש,יש,269.5,166.3,155.5,187.3,190.0,260.0,880.0,,,,,"ק' 165/65R15 , א' 185/60R15",35.0,2X4,1,2,1,פורטו
1,סמארט,פורטו,PASSION,2018,3,2,אחורית,אוטומטית - רובוטית כפולת מצמדים,6,בנזין,3,999,71,6000,9.3,2850,15.1,151,21.3,27.0,24.4,,,,,,ABS,4,יש,יש,269.5,166.3,155.5,187.3,190.0,260.0,880.0,,,,,"ק' 165/65R15 , א' 185/60R15",35.0,2X4,1,2,1,פורטו
2,סמארט,פורטו,SPORT,2018,3,2,אחורית,אוטומטית - רובוטית כפולת מצמדים,6,בנזין,3,999,71,6000,9.3,2850,15.1,151,21.3,27.0,24.4,,,,,,ABS,4,יש,יש,269.5,166.3,155.5,187.3,190.0,260.0,880.0,,,,,"ק' 165/65R15 , א' 185/60R15",35.0,2X4,1,2,1,פורטו
3,סמארט,פורטו,PASSION,2017,3,2,אחורית,אוטומטית - רובוטית כפולת מצמדים,6,בנזין,3,999,71,6000,9.3,2850,15.1,151,21.3,27.0,24.4,,,,,,ABS,4,יש,יש,269.5,166.3,155.5,187.3,190.0,260.0,880.0,,,,,"ק' 165/65R15 , א' 185/60R15",35.0,2X4,1,2,1,פורטו
4,סמארט,פורטו,SPORT,2017,3,2,אחורית,אוטומטית - רובוטית כפולת מצמדים,6,בנזין,3,999,71,6000,9.3,2850,15.1,151,21.3,27.0,24.4,,,,,,ABS,4,יש,יש,269.5,166.3,155.5,187.3,190.0,260.0,880.0,,,,,"ק' 165/65R15 , א' 185/60R15",35.0,2X4,1,2,1,פורטו
5,סמארט,פורטו,PASSION,2016,3,2,אחורית,אוטומטית - רובוטית כפולת מצמדים,6,בנזין,3,999,71,6000,9.3,2850,15.1,151,21.3,27.0,24.4,,,,,,ABS,4,יש,יש,269.5,166.3,155.5,187.3,190.0,260.0,880.0,,,,,"ק' 165/65R15 , א' 185/60R15",35.0,2X4,1,2,1,פורטו
6,סמארט,פורטו,SPORT,2016,3,2,אחורית,אוטומטית - רובוטית כפולת מצמדים,6,בנזין,3,999,71,6000,9.3,2850,15.1,151,21.3,27.0,24.4,,,,,,ABS,4,יש,יש,269.5,166.3,155.5,187.3,190.0,260.0,880.0,,,,,"ק' 165/65R15 , א' 185/60R15",35.0,2X4,1,2,1,פורטו
7,סמארט,פורטו,PASSION,2015,3,2,אחורית,אוטומטית - רובוטית כפולת מצמדים,6,בנזין,3,999,71,6000,9.3,2850,15.1,151,21.3,27.0,24.4,,,,,,ABS,4,יש,יש,269.5,166.3,155.5,187.3,190.0,260.0,880.0,,,,,"ק' 165/65R15 , א' 185/60R15",35.0,2X4,1,2,1,פורטו
8,סמארט,פורטו,SPORT,2015,3,2,אחורית,אוטומטית - רובוטית כפולת מצמדים,6,בנזין,3,999,71,6000,9.3,2850,15.1,151,21.3,27.0,24.4,,,,,,ABS,4,יש,יש,269.5,166.3,155.5,187.3,190.0,260.0,880.0,,,,,"ק' 165/65R15 , א' 185/60R15",35.0,2X4,1,2,1,פורטו
9,סמארט,פורטו,PASSION,2014,3,2,אחורית,אוטומטית - רובוטית מצמד יחיד,5,בנזין,3,999,71,5800,9.3,2800,13.7,145,21.7,25.0,23.2,,,,,,ABS,4,יש,יש,269.5,155.9,156.5,186.7,220.0,,,750.0,,,,"ק': 155/60R15, א': 175/55R15",33.0,2X4,1,2,1,פורטו
10,סמארט,פורטו,PULSE,2014,3,2,אחורית,אוטומטית - רובוטית מצמד יחיד,5,טורבו בנזין,3,999,84,5800,12.2,2000,10.7,145,15.8,24.3,20.4,,,,,,ABS,4,יש,יש,269.5,155.9,156.5,186.7,220.0,340.0,770.0,,,,,"ק': 175/55R15, א': 195/50R15",33.0,2X4,1,2,1,פורטו
11,סמארט,פורטו,PURE,2014,3,2,אחורית,אוטומטית - רובוטית מצמד יחיד,5,בנזין,3,999,61,5800,9.08,2800,16.8,145,21.7,25.0,23.2,,,,,,ABS,2,יש,יש,269.5,155.9,156.5,186.7,220.0,,750.0,,,,,"ק' - 155/60R15, א' - 175/55R15",33.0,2X4,1,2,1,פורטו
12,סמארט,פורטו,BRABUS EXCLUSIVE,2014,3,2,אחורית,אוטומטית - רובוטית מצמד יחיד,5,טורבו בנזין,3,999,102,6000,15.0,2500,8.9,155,15.6,22.7,19.1,,,,,,ABS,4,יש,יש,269.5,155.9,155.5,186.7,220.0,340.0,795.0,,,,,"ק' - 175/50R16, א' - 225/35R17",,2X4,1,2,1,פורטו
13,סמארט,פורטו,PURE TLV,2014,3,2,אחורית,אוטומטית - רובוטית מצמד יחיד,5,בנזין,3,999,61,5800,9.08,2800,16.8,145,21.7,25.0,23.2,,,,,,ABS,4,יש,יש,269.5,155.9,156.5,186.7,220.0,,750.0,,,,,"ק' - 155/60R15, א' - 175/55R15",33.0,2X4,1,2,1,פורטו
14,סמארט,פורטו,BRABUS,2014,3,2,אחורית,אוטומטית - רובוטית מצמד יחיד,5,טורבו בנזין,3,999,102,6000,15.0,2500,8.9,155,15.6,22.7,19.1,,,,,,ABS,4,יש,יש,269.5,155.9,155.5,186.7,220.0,340.0,795.0,,,,,"ק' - 175/50R16, א' - 225/35R17",,2X4,1,2,1,פורטו
15,סמארט,פורטו,PASSION,2013,3,2,אחורית,אוטומטית - רובוטית מצמד יחיד,5,בנזין,3,999,71,5800,9.3,2800,13.7,145,21.7,25.0,23.2,,,,,,ABS,4,יש,יש,269.5,155.9,156.5,186.7,220.0,,,750.0,,,,"ק': 155/60R15, א': 175/55R15",33.0,2X4,1,2,1,פורטו
16,סמארט,פורטו,PULSE,2013,3,2,אחורית,אוטומטית - רובוטית מצמד יחיד,5,טורבו בנזין,3,999,84,5800,12.2,2000,10.7,145,15.8,24.3,20.4,,,,,,ABS,4,יש,יש,269.5,155.9,156.5,186.7,220.0,340.0,770.0,,,,,"ק': 175/55R15, א': 195/50R15",33.0,2X4,1,2,1,פורטו
17,סמארט,פורטו,PURE,2013,3,2,אחורית,אוטומטית - רובוטית מצמד יחיד,5,בנזין,3,999,61,5800,9.08,2800,16.8,145,21.7,25.0,23.2,,,,,,ABS,2,יש,יש,269.5,155.9,156.5,186.7,220.0,,750.0,,,,,"ק' - 155/60R15, א' - 175/55R15",33.0,2X4,1,2,1,פורטו
18,סמארט,פורטו,BRABUS EXCLUSIVE,2013,3,2,אחורית,אוטומטית - רובוטית מצמד יחיד,5,טורבו בנזין,3,999,102,6000,15.0,2500,8.9,155,15.6,22.7,19.1,,,,,,ABS,4,יש,יש,269.5,155.9,155.5,186.7,220.0,340.0,795.0,,,,,"ק' - 175/50R16, א' - 225/35R17",,2X4,1,2,1,פורטו
19,סמארט,פורטו,PURE TLV,2013,3,2,אחורית,אוטומטית - רובוטית מצמד יחיד,5,בנזין,3,999,61,5800,9.08,2800,16.8,145,21.7,25.0,23.2,,,,,,ABS,4,יש,יש,269.5,155.9,156.5,186.7,220.0,,750.0,,,,,"ק' - 155/60R15, א' - 175/55R15",33.0,2X4,1,2,1,פורטו
20,סמארט,פורטו,BRABUS,2013,3,2,אחורית,אוטומטית - רובוטית מצמד יחיד,5,טורבו בנזין,3,999,102,6000,15.0,2500,8.9,155,15.6,22.7,19.1,,,,,,ABS,4,יש,יש,269.5,155.9,155.5,186.7,220.0,340.0,795.0,,,,,"ק' - 175/50R16, א' - 225/35R17",,2X4,1,2,1,פורטו
