,make,model,ramat_gimur,year,doors,sitting,ignition,gearbox,gear,engine,piston,capacity,power,loops,moment,loopmoment,acceleration,speed,urban_consumption,intercity_consumption,consumption,electricity_use,battery_capacity,electric_range,home_charging_time,fast_charging_time,brake,airbag,stability,cenairbag,length,width,height,wheel,cargo,chaircargo,selfweight,totalweight,loading,towing_without_brakes,towing_with_brakes,tire,fuel,hanaa_nm,automatic_ind,sitting,engine_cd,n_model
0,סקודה,סיטיגו,AMBITION,2018,5,4,קדמית,ידנית,5.0,בנזין,3.0,999.0,60,5000.0,9.7,3000.0,14.4,162.0,18.2,26.3,22.7,,,,,,ABS + EBD + BAS,4,יש,יש,359.7,164.5,147.8,242.0,251,959.0,929.0,,,,,175/65R14,35.0,2X4,0,4,1,סיטיגו
1,סקודה,סיטיגו,AMBITION,2017,5,4,קדמית,ידנית,5.0,בנזין,3.0,999.0,60,5000.0,9.7,3000.0,14.4,162.0,18.2,26.3,22.7,,,,,,ABS + EBD + BAS,4,יש,יש,359.7,164.5,147.8,242.0,251,959.0,929.0,,,,,175/65R14,35.0,2X4,0,4,1,סיטיגו
2,סקודה,סיטיגו,AMBITION,2017,5,4,קדמית,אוטומטית - רובוטית מצמד יחיד,5.0,בנזין,3.0,999.0,60,5000.0,9.7,3000.0,16.7,162.0,18.8,26.3,23.2,,,,,,ABS + EBD + BAS,4,יש,יש,359.7,164.5,147.8,242.0,251,959.0,932.0,,,,,175/65R14,35.0,2X4,1,4,1,סיטיגו
3,סקודה,סיטיגו,AMBITION,2016,5,4,קדמית,ידנית,5.0,בנזין,3.0,999.0,60,5000.0,9.7,3000.0,14.4,160.0,17.8,25.6,22.2,,,,,,ABS,4,יש,יש,356.3,164.5,147.8,242.0,251,959.0,854.0,,,,,165/70R14,35.0,2X4,0,4,1,סיטיגו
4,סקודה,סיטיגו,AMBITION,2016,5,4,קדמית,אוטומטית - רובוטית מצמד יחיד,5.0,בנזין,3.0,999.0,60,5000.0,9.7,3000.0,15.3,160.0,18.8,25.6,22.7,,,,,,ABS,4,יש,יש,356.3,164.5,147.8,242.0,251,959.0,857.0,,,,,165/70R14,35.0,2X4,1,4,1,סיטיגו
5,סקודה,סיטיגו,STYLE,2016,5,4,קדמית,ידנית,5.0,בנזין,3.0,999.0,60,5000.0,9.7,3000.0,14.4,160.0,17.8,25.6,22.2,,,,,,ABS,4,יש,יש,356.3,164.5,147.8,242.0,251,959.0,854.0,,,,,185/55R15,35.0,2X4,0,4,1,סיטיגו
6,סקודה,סיטיגו,STYLE,2016,5,4,קדמית,אוטומטית - רובוטית מצמד יחיד,5.0,בנזין,3.0,999.0,60,5000.0,9.7,3000.0,15.3,160.0,18.8,25.6,22.7,,,,,,ABS,4,יש,יש,356.3,164.5,147.8,242.0,251,959.0,857.0,,,,,185/55R15,35.0,2X4,1,4,1,סיטיגו
7,סקודה,סיטיגו,AMBITION,2015,5,4,קדמית,ידנית,5.0,בנזין,3.0,999.0,60,5000.0,9.7,3000.0,14.4,160.0,17.8,25.6,22.2,,,,,,ABS,4,יש,יש,356.3,164.5,147.8,242.0,251,959.0,854.0,,,,,165/70R14,35.0,2X4,0,4,1,סיטיגו
8,סקודה,סיטיגו,STYLE,2015,5,4,קדמית,ידנית,5.0,בנזין,3.0,999.0,60,5000.0,9.7,3000.0,14.4,160.0,17.8,25.6,22.2,,,,,,ABS,4,יש,יש,356.3,164.5,147.8,242.0,251,959.0,854.0,,,,,185/55R15,35.0,2X4,0,4,1,סיטיגו
9,סקודה,סיטיגו,AMBITION,2015,5,4,קדמית,אוטומטית - רובוטית מצמד יחיד,5.0,בנזין,3.0,999.0,60,5000.0,9.7,3000.0,15.3,160.0,18.8,25.6,22.7,,,,,,ABS,4,יש,יש,356.3,164.5,147.8,242.0,251,959.0,857.0,,,,,165/70R14,35.0,2X4,1,4,1,סיטיגו
