,make,model,ramat_gimur,year,doors,sitting,ignition,gearbox,gear,engine,piston,capacity,power,loops,moment,loopmoment,acceleration,speed,urban_consumption,intercity_consumption,consumption,electricity_use,battery_capacity,electric_range,home_charging_time,fast_charging_time,brake,airbag,stability,cenairbag,length,width,height,wheel,cargo,chaircargo,selfweight,totalweight,loading,towing_without_brakes,towing_with_brakes,tire,fuel,hanaa_nm,automatic_ind,sitting,engine_cd,n_model
0,פולקסווגן,אפ,,2016,5,4,קדמית,ידנית,5,בנזין,3,999,75,6200,9.6,3000,13.2,171.0,16.9,25.0,21.2,,,,,,ABS + EBD + BAS,4,יש,יש,354.0,164.1,148.9,242.0,251.0,,854.0,,,,,175/70R14,35,2X4,0,4,1,אפ
1,פולקסווגן,אפ,,2016,5,4,קדמית,אוטומטית - רובוטית מצמד יחיד,5,בנזין,3,999,75,6200,9.6,3000,13.9,171.0,18.2,25.0,22.2,,,,,,ABS + EBD + BAS,4,יש,יש,354.0,164.1,148.9,242.0,251.0,,857.0,,,,,175/70R14,35,2X4,1,4,1,אפ
2,פולקסווגן,אפ,,2015,5,4,קדמית,ידנית,5,בנזין,3,999,75,6200,9.6,3000,13.2,171.0,16.9,25.0,21.2,,,,,,ABS + EBD + BAS,4,יש,יש,354.0,164.1,148.9,242.0,251.0,,854.0,,,,,175/70R14,35,2X4,0,4,1,אפ
3,פולקסווגן,אפ,,2015,5,4,קדמית,אוטומטית - רובוטית מצמד יחיד,5,בנזין,3,999,75,6200,9.6,3000,13.9,171.0,18.2,25.0,22.2,,,,,,ABS + EBD + BAS,4,יש,יש,354.0,164.1,148.9,242.0,251.0,,857.0,,,,,175/70R14,35,2X4,1,4,1,אפ
4,פולקסווגן,אפ,,2014,5,4,קדמית,ידנית,5,בנזין,3,999,75,6200,9.6,3000,13.2,171.0,16.9,25.0,21.2,,,,,,ABS + EBD + BAS,4,יש,יש,354.0,164.1,148.9,242.0,251.0,,854.0,,,,,165/70R14,35,2X4,0,4,1,אפ
5,פולקסווגן,אפ,,2014,5,4,קדמית,אוטומטית - רובוטית מצמד יחיד,5,בנזין,3,999,75,6200,9.6,3000,13.9,171.0,18.2,25.0,22.2,,,,,,ABS + EBD + BAS,4,יש,יש,354.0,164.1,148.9,242.0,251.0,,857.0,,,,,165/70R14,35,2X4,1,4,1,אפ
6,פולקסווגן,פולו,STYLE,2022,5,5,קדמית,אוטומטית - רובוטית כפולת מצמדים,7,טורבו בנזין,3,999,95,5000,17.8,1600,11.3,187.0,,,17.2,,,,,,ABS + EBD + BAS,6,יש,יש,407.4,175.1,143.6,255.2,351.0,1125.0,1180.0,1650.0,470.0,600.0,1000.0,185/65R15,40,2X4,1,5,1,פולו
7,פולקסווגן,פולו,STYLE PLUS,2022,5,5,קדמית,אוטומטית - רובוטית כפולת מצמדים,7,טורבו בנזין,3,999,110,5500,20.4,2000,10.4,195.0,,,17.2,,,,,,ABS + EBD + BAS,6,יש,יש,407.4,175.1,143.6,255.2,351.0,1125.0,1205.0,1680.0,475.0,600.0,1100.0,195/55R16,40,2X4,1,5,1,פולו
8,פולקסווגן,פולו,COMFORTLINE,2021,5,5,קדמית,אוטומטית - רובוטית כפולת מצמדים,7,טורבו בנזין,3,999,95,5000,17.8,2000,10.8,187.0,,,16.9,,,,,,ABS + EBD + BAS,6,יש,יש,405.3,175.1,143.1,255.1,351.0,1125.0,1162.0,,,590.0,1000.0,185/65R15,40,2X4,1,5,1,פולו
9,פולקסווגן,פולו,COMFORTLINE,2021,5,5,קדמית,אוטומטית - רובוטית כפולת מצמדים,7,טורבו בנזין,3,999,115,5000,20.4,2000,9.5,200.0,,,16.9,,,,,,ABS + EBD + BAS,6,יש,יש,405.3,175.1,143.1,255.1,351.0,1125.0,1187.0,,,590.0,1100.0,195/55R16,40,2X4,1,5,1,פולו
