,make,model,ramat_gimur,year,doors,sitting,ignition,gearbox,gear,engine,piston,capacity,power,loops,moment,loopmoment,acceleration,speed,urban_consumption,intercity_consumption,consumption,electricity_use,battery_capacity,electric_range,home_charging_time,fast_charging_time,brake,airbag,stability,cenairbag,length,width,height,wheel,cargo,chaircargo,selfweight,totalweight,loading,towing_without_brakes,towing_with_brakes,tire,fuel,hanaa_nm,automatic_ind,sitting,engine_cd,n_model
0,פורד,פיאסטה,TREND,2017,5,5,קדמית,אוטומטית - רובוטית כפולת מצמדים,6,בנזין,4,1596,105,6300.0,15.3,4000.0,10.5,184.0,11.9,22.2,17.0,,,,,,ABS + EBD + BAS,7,יש,יש,398.2,170.9,149.5,248.9,281.0,965.0,1098.0,,,545.0,650.0,195/50R15,42,2X4,1,5,1,פיאסטה
1,פורד,פיאסטה,5  AMBIENTE,2016,5,5,קדמית,ידנית,5,בנזין,4,1242,82,5800.0,11.6,4500.0,13.3,168.0,14.5,23.8,19.1,,,,,,ABS + EBD + BAS,7,יש,יש,398.2,170.9,149.5,248.9,281.0,965.0,1055.0,,,525.0,600.0,195/50R15,42,2X4,0,5,1,פיאסטה
2,פורד,פיאסטה,TREND,2016,5,5,קדמית,אוטומטית - רובוטית כפולת מצמדים,6,בנזין,4,1596,105,6300.0,15.3,4000.0,10.5,184.0,11.9,22.2,17.0,,,,,,ABS + EBD + BAS,7,יש,יש,398.2,170.9,149.5,248.9,281.0,965.0,1098.0,,,545.0,650.0,195/50R15,42,2X4,1,5,1,פיאסטה
3,פורד,פיאסטה,5  AMBIENTE,2015,5,5,קדמית,ידנית,5,בנזין,4,1242,82,5800.0,11.6,4500.0,13.3,168.0,14.5,23.8,19.1,,,,,,ABS + EBD + BAS,7,יש,יש,398.2,170.9,149.5,248.9,281.0,965.0,1055.0,,,525.0,600.0,195/50R15,42,2X4,0,5,1,פיאסטה
4,פורד,פיאסטה,TREND,2015,5,5,קדמית,אוטומטית - רובוטית כפולת מצמדים,6,בנזין,4,1596,105,6300.0,15.3,4000.0,10.5,184.0,11.9,22.2,17.0,,,,,,ABS + EBD + BAS,7,יש,יש,398.2,170.9,149.5,248.9,281.0,965.0,1098.0,,,545.0,650.0,195/50R15,42,2X4,1,5,1,פיאסטה
5,פורד,פיאסטה,5  AMBIENTE,2014,5,5,קדמית,ידנית,5,בנזין,4,1242,82,5800.0,11.6,4500.0,13.3,168.0,14.5,23.8,19.1,,,,,,ABS + EBD + BAS,7,יש,יש,398.2,170.9,149.5,248.9,281.0,965.0,1055.0,,,525.0,600.0,195/50R15,42,2X4,0,5,1,פיאסטה
6,פורד,פיאסטה,TREND,2014,5,5,קדמית,אוטומטית - רובוטית כפולת מצמדים,6,בנזין,4,1596,105,6300.0,15.3,4000.0,10.5,184.0,11.9,22.2,17.0,,,,,,ABS + EBD + BAS,7,יש,יש,398.2,170.9,149.5,248.9,281.0,965.0,1098.0,,,545.0,650.0,195/50R15,42,2X4,1,5,1,פיאסטה
7,פורד,פיאסטה,5  AMBIENTE,2013,5,5,קדמית,ידנית,5,בנזין,4,1242,82,5800.0,11.6,4500.0,13.3,168.0,14.5,23.8,19.1,,,,,,ABS + EBD + BAS,7,יש,יש,398.2,170.9,149.5,248.9,281.0,965.0,1055.0,,,525.0,600.0,195/50R15,42,2X4,0,5,1,פיאסטה
8,פורד,פיאסטה,TREND,2013,5,5,קדמית,אוטומטית - רובוטית כפולת מצמדים,6,בנזין,4,1596,105,6300.0,15.3,4000.0,10.5,184.0,11.9,22.2,17.0,,,,,,ABS + EBD + BAS,7,יש,יש,398.2,170.9,149.5,248.9,281.0,965.0,1098.0,,,545.0,650.0,195/50R15,42,2X4,1,5,1,פיאסטה
9,פורד,פיאסטה,TREND,2012,5,5,קדמית,אוטומטית - טיפטרוניק,4,בנזין,4,1389,96,6000.0,12.7,4500.0,13.9,166.0,11.2,19.2,14.2,,,,,,ABS + EBD,7,יש,אין,395.8,172.2,148.1,248.9,281.0,965.0,1101.0,,,550.0,750.0,195/50R15,43,2X4,1,5,1,פיאסטה
