,make,model,ramat_gimur,year,doors,sitting,ignition,gearbox,gear,engine,piston,capacity,power,loops,moment,loopmoment,acceleration,speed,urban_consumption,intercity_consumption,consumption,electricity_use,battery_capacity,electric_range,home_charging_time,fast_charging_time,brake,airbag,stability,cenairbag,length,width,height,wheel,cargo,chaircargo,selfweight,totalweight,loading,towing_without_brakes,towing_with_brakes,tire,fuel,hanaa_nm,automatic_ind,sitting,engine_cd,n_model
0,פורשה,פנמרה,4E-HYBRID,2022,4,4,כפולה (4X4),אוטומטית - רובוטית כפולת מצמדים,8,היברידי נטען (טורבו-בנזין),6.0,2894.0,462,5400.0,71.4,1800.0,4.4,280.0,,,47.6,170.0,17.9,56.0,,,ABS + EBD + BAS,8,יש,אין,504.9,193.7,142.3,295.0,403.0,1242.0,2210.0,2710.0,500.0,,,"ק' 265/45R19 , א' 295/40R19",80.0,4X4,1,4,1,פנמרה
1,פורשה,פנמרה,4S,2022,4,4,כפולה (4X4),אוטומטית - רובוטית כפולת מצמדים,8,טורבו בנזין,6.0,2894.0,440,5650.0,56.1,1750.0,4.3,295.0,8.7,13.4,11.2,,,,,,ABS + EBD + BAS,8,יש,אין,504.9,193.7,142.3,295.0,495.0,1334.0,1915.0,2505.0,590.0,750.0,,"ק' 265/45R19 , א' 295/40R19",75.0,4X4,1,4,1,פנמרה
2,פורשה,פנמרה,GTS,2022,4,4,כפולה (4X4),אוטומטית - רובוטית כפולת מצמדים,8,טורבו בנזין,8.0,3996.0,480,6500.0,63.2,1800.0,3.9,300.0,6.5,12.3,9.2,,,,,,ABS + EBD + BAS,8,יש,אין,505.3,193.7,141.7,295.0,495.0,1334.0,2020.0,2585.0,565.0,750.0,2200.0,"ק' 275/40R20 , א' 315/35R20",90.0,4X4,1,4,1,פנמרה
3,פורשה,פנמרה,TURBO S,2022,4,4,כפולה (4X4),אוטומטית - רובוטית כפולת מצמדים,8,טורבו בנזין,8.0,3996.0,630,6000.0,83.6,2300.0,3.1,315.0,6.7,11.8,9.3,,,,,,ABS + EBD + BAS,8,יש,אין,504.9,193.7,142.7,295.0,467.0,1306.0,2080.0,2585.0,505.0,750.0,2200.0,"ק' 275/35R21 , א' 325/30R21",90.0,4X4,1,4,1,פנמרה
4,פורשה,פנמרה,TURBO S E-HYBRID,2022,4,4,כפולה (4X4),אוטומטית - רובוטית כפולת מצמדים,8,היברידי נטען (טורבו-בנזין),8.0,3996.0,700,5750.0,88.7,2100.0,3.2,315.0,,,37.0,218.0,17.9,50.0,,,ABS + EBD + BAS,8,יש,אין,504.9,193.7,142.7,295.0,403.0,1242.0,2350.0,2810.0,460.0,,,"ק' 275/35R21 , א' 325/30R21",80.0,4X4,1,4,1,פנמרה
5,פורשה,פנמרה,SPORT TURISMO 4E-HYBRID,2022,5,4,כפולה (4X4),אוטומטית - רובוטית כפולת מצמדים,8,היברידי נטען (טורבו-בנזין),6.0,2894.0,462,5400.0,71.4,1800.0,4.4,280.0,,,45.4,175.0,17.9,54.0,,,ABS + EBD + BAS,8,יש,אין,504.9,193.7,142.8,295.0,418.0,1287.0,2225.0,2810.0,585.0,,,"ק' 265/45R19 , א' 295/40R19",80.0,4X4,1,4,1,פנמרה
6,פורשה,פנמרה,4S E-HYBRID,2022,4,4,כפולה (4X4),אוטומטית - רובוטית כפולת מצמדים,8,היברידי נטען (טורבו-בנזין),6.0,2894.0,560,5650.0,76.4,2000.0,3.7,298.0,,,50.0,174.0,17.9,53.0,,,ABS + EBD + BAS,8,יש,אין,504.9,193.7,142.3,295.0,403.0,1242.0,2225.0,2750.0,525.0,,,"ק' 275/40R20 , א' 315/35R20",80.0,4X4,1,4,1,פנמרה
7,פורשה,פנמרה,SPORT TURISMO 4S E-HYBRID,2022,4,4,כפולה (4X4),אוטומטית - רובוטית כפולת מצמדים,8,היברידי נטען (טורבו-בנזין),6.0,2894.0,560,5650.0,76.4,2000.0,3.7,293.0,,,50.0,174.0,17.9,50.0,,,ABS + EBD + BAS,8,יש,אין,504.9,193.7,142.8,295.0,418.0,1287.0,2240.0,2835.0,595.0,,,"ק' 275/40R20 , א' 315/35R20",80.0,4X4,1,4,1,פנמרה
8,פורשה,פנמרה,SPORT TURISMO GTS,2022,4,4,כפולה (4X4),אוטומטית - רובוטית כפולת מצמדים,8,טורבו בנזין,8.0,3996.0,480,6500.0,63.2,1800.0,3.9,292.0,,,7.5,,,,,,ABS + EBD + BAS,8,יש,אין,505.3,193.7,142.2,295.0,515.0,1384.0,2040.0,2615.0,575.0,750.0,2200.0,"ק' 275/40R20 , א' 315/35R20",90.0,4X4,1,4,1,פנמרה
9,פורשה,פנמרה,4,2022,4,4,כפולה (4X4),אוטומטית - רובוטית כפולת מצמדים,8,טורבו בנזין,6.0,2894.0,330,5400.0,45.8,1800.0,5.3,268.0,,,8.8,,,,,,ABS + EBD + BAS,8,יש,אין,504.9,193.7,142.3,295.0,495.0,1334.0,1900.0,2460.0,560.0,750.0,,"ק' 265/45R19 , א' 295/40R19",75.0,4X4,1,4,1,פנמרה
