,make,model,ramat_gimur,year,doors,sitting,ignition,gearbox,gear,engine,piston,capacity,power,loops,moment,loopmoment,acceleration,speed,urban_consumption,intercity_consumption,consumption,electricity_use,battery_capacity,electric_range,home_charging_time,fast_charging_time,brake,airbag,stability,cenairbag,length,width,height,wheel,cargo,chaircargo,selfweight,totalweight,loading,towing_without_brakes,towing_with_brakes,tire,fuel,hanaa_nm,automatic_ind,sitting,engine_cd,n_model
0,פיג'ו,107,,2014,5,4,קדמית,אוטומטית - רובוטית מצמד יחיד,5.0,בנזין,3.0,998.0,68,6000.0,9.5,3600.0,14.0,157.0,18.5,25.0,22.2,,,,,,ABS + EBD,6,יש,יש,344.0,163.0,146.5,234.0,139.0,751.0,835,,,,,155/65R14,35.0,2X4,1,4,1,107
1,פיג'ו,107,,2014,5,4,קדמית,ידנית,5.0,בנזין,3.0,998.0,68,6000.0,9.5,3600.0,12.3,160.0,19.6,26.3,23.2,,,,,,ABS + EBD,6,יש,יש,344.0,163.0,146.5,234.0,139.0,751.0,830,,,,,155/65R14,35.0,2X4,0,4,1,107
2,פיג'ו,107,,2013,5,4,קדמית,אוטומטית - רובוטית מצמד יחיד,5.0,בנזין,3.0,998.0,68,6000.0,9.5,3600.0,14.0,157.0,18.5,25.0,22.2,,,,,,ABS + EBD,6,יש,יש,344.0,163.0,146.5,234.0,139.0,751.0,835,,,,,155/65R14,35.0,2X4,1,4,1,107
3,פיג'ו,107,,2013,5,4,קדמית,ידנית,5.0,בנזין,3.0,998.0,68,6000.0,9.5,3600.0,12.3,160.0,19.6,26.3,23.2,,,,,,ABS + EBD,6,יש,יש,344.0,163.0,146.5,234.0,139.0,751.0,830,,,,,155/65R14,35.0,2X4,0,4,1,107
4,פיג'ו,107,,2012,5,4,קדמית,אוטומטית - רובוטית מצמד יחיד,5.0,בנזין,3.0,998.0,68,6000.0,9.5,3600.0,14.0,157.0,18.5,25.0,22.2,,,,,,ABS + EBD,6,יש,יש,344.0,163.0,146.5,234.0,139.0,751.0,835,,,,,155/65R14,35.0,2X4,1,4,1,107
5,פיג'ו,107,,2012,5,4,קדמית,ידנית,5.0,בנזין,3.0,998.0,68,6000.0,9.5,3600.0,12.3,160.0,19.6,26.3,23.2,,,,,,ABS + EBD,6,יש,יש,344.0,163.0,146.5,234.0,139.0,751.0,830,,,,,155/65R14,35.0,2X4,0,4,1,107
6,פיג'ו,107,,2011,5,4,קדמית,אוטומטית - רובוטית מצמד יחיד,5.0,בנזין,3.0,998.0,68,6000.0,9.5,3600.0,14.0,157.0,18.1,24.3,21.7,,,,,,ABS + EBD,6,יש,יש,343.0,163.0,146.5,234.0,139.0,751.0,835,,,,,155/65R14,35.0,2X4,1,4,1,107
7,פיג'ו,107,,2011,5,4,קדמית,ידנית,5.0,בנזין,3.0,998.0,68,6000.0,9.5,3600.0,13.7,157.0,18.1,24.3,21.7,,,,,,ABS + EBD,6,יש,יש,343.0,163.0,146.5,234.0,139.0,751.0,800,,,,,155/65R14,35.0,2X4,0,4,1,107
8,פיג'ו,107,,2010,5,4,קדמית,אוטומטית - רובוטית מצמד יחיד,5.0,בנזין,3.0,998.0,68,6000.0,9.5,3600.0,14.0,157.0,18.2,24.4,21.7,,,,,,ABS + EBD,6,יש,יש,343.0,163.0,146.5,234.0,139.0,751.0,835,,,,,155/65R14,35.0,2X4,1,4,1,107
9,פיג'ו,107,,2010,5,4,קדמית,ידנית,5.0,בנזין,3.0,998.0,68,6000.0,9.5,3600.0,13.7,157.0,18.2,24.4,21.7,,,,,,ABS + EBD,6,יש,יש,343.0,163.0,146.5,234.0,139.0,751.0,800,,,,,155/65R14,35.0,2X4,0,4,1,107
10,פיג'ו,107,,2009,5,4,קדמית,אוטומטית - רובוטית מצמד יחיד,5.0,בנזין,3.0,998.0,68,6000.0,9.5,3600.0,14.0,157.0,18.2,24.4,21.7,,,,,,ABS + EBD,6,יש,יש,343.0,163.0,146.5,234.0,139.0,751.0,835,,,,,155/65R14,35.0,2X4,1,4,1,107
11,פיג'ו,108,ACTIVE,2019,5,4,קדמית,אוטומטית - רובוטית מצמד יחיד,5.0,בנזין,3.0,998.0,72,6000.0,9.5,4400.0,15.7,160.0,20.0,26.3,23.8,,,,,,ABS + EBD,6,יש,יש,346.5,161.5,146.0,234.0,196.0,780.0,860,,,,,165/65R14,35.0,2X4,1,4,1,108
12,פיג'ו,108,ACTIVE TOP,2019,5,4,קדמית,אוטומטית - רובוטית מצמד יחיד,5.0,בנזין,3.0,998.0,72,6000.0,9.5,4400.0,15.7,160.0,20.0,26.3,23.8,,,,,,ABS + EBD,6,יש,יש,346.5,161.5,146.0,234.0,196.0,780.0,876,,,,,165/65R14,35.0,2X4,1,4,1,108
13,פיג'ו,108,ACTIVE,2018,5,4,קדמית,אוטומטית - רובוטית מצמד יחיד,5.0,בנזין,3.0,998.0,69,6000.0,9.7,4800.0,14.6,157.0,20.0,26.3,23.8,,,,,,ABS + EBD,6,יש,יש,347.5,161.5,146.0,234.0,196.0,780.0,860,,,,,165/65R14,35.0,2X4,1,4,1,108
14,פיג'ו,108,ACTIVE TOP,2018,5,4,קדמית,אוטומטית - רובוטית מצמד יחיד,5.0,בנזין,3.0,998.0,69,6000.0,9.7,4800.0,14.6,157.0,20.0,26.3,23.8,,,,,,ABS + EBD,6,יש,יש,347.5,161.5,146.0,234.0,196.0,780.0,876,,,,,165/65R14,35.0,2X4,1,4,1,108
15,פיג'ו,108,ACTIVE,2017,5,4,קדמית,ידנית,5.0,בנזין,3.0,1199.0,82,5750.0,11.8,2750.0,11.0,170.0,18.5,27.0,23.3,,,,,,ABS + EBD,6,יש,יש,347.5,161.5,146.0,234.0,196.0,780.0,865,,,,,165/60R15,35.0,2X4,0,4,1,108
16,פיג'ו,108,ACTIVE,2017,5,4,קדמית,אוטומטית - רובוטית מצמד יחיד,5.0,בנזין,3.0,998.0,69,6000.0,9.7,4800.0,14.6,157.0,20.0,26.3,23.8,,,,,,ABS + EBD,6,יש,יש,347.5,161.5,146.0,234.0,196.0,780.0,860,,,,,165/65R14,35.0,2X4,1,4,1,108
17,פיג'ו,108,ACTIVE TOP,2017,5,4,קדמית,אוטומטית - רובוטית מצמד יחיד,5.0,בנזין,3.0,998.0,69,6000.0,9.7,4800.0,14.6,157.0,20.0,26.3,23.8,,,,,,ABS + EBD,6,יש,יש,347.5,161.5,146.0,234.0,196.0,780.0,876,,,,,165/65R14,35.0,2X4,1,4,1,108
18,פיג'ו,108,ACTIVE,2016,5,4,קדמית,ידנית,5.0,בנזין,3.0,1199.0,82,5750.0,11.8,2750.0,11.0,170.0,18.5,27.0,23.3,,,,,,ABS + EBD,6,יש,יש,347.5,161.5,146.0,234.0,196.0,780.0,865,,,,,165/60R15,35.0,2X4,0,4,1,108
19,פיג'ו,108,ACTIVE,2016,5,4,קדמית,אוטומטית - רובוטית מצמד יחיד,5.0,בנזין,3.0,998.0,69,6000.0,9.7,4800.0,14.6,157.0,20.0,26.3,23.8,,,,,,ABS + EBD,6,יש,יש,347.5,161.5,146.0,234.0,196.0,780.0,860,,,,,165/65R14,35.0,2X4,1,4,1,108
20,פיג'ו,108,ACTIVE TOP,2016,5,4,קדמית,אוטומטית - רובוטית מצמד יחיד,5.0,בנזין,3.0,998.0,69,6000.0,9.7,4800.0,14.6,157.0,20.0,26.3,23.8,,,,,,ABS + EBD,6,יש,יש,347.5,161.5,146.0,234.0,196.0,780.0,876,,,,,165/65R14,35.0,2X4,1,4,1,108
21,פיג'ו,108,ACTIVE,2015,5,4,קדמית,ידנית,5.0,בנזין,3.0,1199.0,82,5750.0,11.8,2750.0,11.0,170.0,18.5,27.0,23.3,,,,,,ABS + EBD,6,יש,יש,347.5,161.5,146.0,234.0,196.0,780.0,865,,,,,165/60R15,35.0,2X4,0,4,1,108
22,פיג'ו,108,ACTIVE,2015,5,4,קדמית,אוטומטית - רובוטית מצמד יחיד,5.0,בנזין,3.0,998.0,69,6000.0,9.7,4800.0,14.6,157.0,20.0,26.3,23.8,,,,,,ABS + EBD,6,יש,יש,347.5,161.5,146.0,234.0,196.0,780.0,860,,,,,165/65R14,35.0,2X4,1,4,1,108
23,פיג'ו,108,ACTIVE TOP,2015,5,4,קדמית,אוטומטית - רובוטית מצמד יחיד,5.0,בנזין,3.0,998.0,69,6000.0,9.7,4800.0,14.6,157.0,20.0,26.3,23.8,,,,,,ABS + EBD,6,יש,יש,347.5,161.5,146.0,234.0,196.0,780.0,876,,,,,165/65R14,35.0,2X4,1,4,1,108
24,פיג'ו,206,,2008,5,5,קדמית,ידנית,5.0,בנזין,4.0,1360.0,75,5500.0,12.2,2800.0,13.2,170.0,,,15.6,,,,,,ABS,2 או 6,אין,אין,383.5,165.2,142.8,244.2,245.0,1130.0,950,,,,,175/65R14,50.0,2X4,0,5,1,206
25,פיג'ו,206,,2007,5,5,קדמית,ידנית,5.0,בנזין,4.0,1360.0,75,5500.0,12.2,2800.0,13.2,170.0,,,15.6,,,,,,ABS,2 או 6,אין,אין,383.5,165.2,142.8,244.2,245.0,1130.0,950,,,,,175/65R14,50.0,2X4,0,5,1,206
