,make,model,ramat_gimur,year,doors,sitting,ignition,gearbox,gear,engine,piston,capacity,power,loops,moment,loopmoment,acceleration,speed,urban_consumption,intercity_consumption,consumption,electricity_use,battery_capacity,electric_range,home_charging_time,fast_charging_time,brake,airbag,stability,cenairbag,length,width,height,wheel,cargo,chaircargo,selfweight,totalweight,loading,towing_without_brakes,towing_with_brakes,tire,fuel,hanaa_nm,automatic_ind,sitting,engine_cd,n_model
0,פרארי,קליפורניה,T,2016,2,4,אחורית,אוטומטית - רובוטית כפולת מצמדים,7,טורבו בנזין,8,3855,553,7500,77.0,4750,3.6,316,,,9.5,,,,,,ABS + EBD + BAS,4,יש,יש,456.2,190.9,132.2,267.0,340.0,,1729.0,,,,,"ק' 245/40R19 , א' 285/40R19",78.0,2X4,1,4,1,קליפורניה
1,פרארי,קליפורניה,T,2015,2,4,אחורית,אוטומטית - רובוטית כפולת מצמדים,7,טורבו בנזין,8,3855,553,7500,77.0,4750,3.6,316,,,9.5,,,,,,ABS + EBD + BAS,4,יש,יש,456.2,190.9,132.2,267.0,340.0,,1729.0,,,,,"ק' 245/40R19 , א' 285/40R19",78.0,2X4,1,4,1,קליפורניה
2,פרארי,קליפורניה,,2014,2,4,אחורית,אוטומטית - רובוטית כפולת מצמדים,7,בנזין,8,4297,490,7750,51.5,5000,3.8,312,,,8.7,,,,,,ABS + EBD + BAS,4,יש,יש,456.2,190.9,132.2,267.0,340.0,,1735.0,,,,,"ק' 245/40R19 , א' 285/40R19",78.0,2X4,1,4,1,קליפורניה
3,פרארי,קליפורניה,T,2014,2,4,אחורית,אוטומטית - רובוטית כפולת מצמדים,7,טורבו בנזין,8,3855,553,7500,77.0,4750,3.6,316,,,9.5,,,,,,ABS + EBD + BAS,4,יש,יש,456.2,190.9,132.2,267.0,340.0,,1729.0,,,,,"ק' 245/40R19 , א' 285/40R19",78.0,2X4,1,4,1,קליפורניה
4,פרארי,קליפורניה,,2013,2,4,אחורית,אוטומטית - רובוטית כפולת מצמדים,7,בנזין,8,4297,490,7750,51.5,5000,3.8,312,,,8.7,,,,,,ABS + EBD + BAS,4,יש,יש,,,,,,,,,,,,,,2X4,1,4,1,קליפורניה
5,פרארי,קליפורניה,T,2013,2,4,אחורית,אוטומטית - רובוטית כפולת מצמדים,7,טורבו בנזין,8,3855,553,7500,77.0,4750,3.6,316,,,9.5,,,,,,ABS + EBD + BAS,4,יש,יש,,,,,,,,,,,,,,2X4,1,4,1,קליפורניה
6,פרארי,קליפורניה,,2012,2,4,אחורית,אוטומטית - רובוטית כפולת מצמדים,7,בנזין,8,4297,490,7750,51.5,5000,3.8,312,,,8.7,,,,,,ABS + EBD + BAS,4,יש,יש,,,,,,,,,,,,,,2X4,1,4,1,קליפורניה
7,פרארי,קליפורניה,T,2012,2,4,אחורית,אוטומטית - רובוטית כפולת מצמדים,7,טורבו בנזין,8,3855,553,7500,77.0,4750,3.6,316,,,9.5,,,,,,ABS + EBD + BAS,4,יש,יש,,,,,,,,,,,,,,2X4,1,4,1,קליפורניה
8,פרארי,פורטופינו,-,2022,2,4,אחורית,אוטומטית - רובוטית כפולת מצמדים,7,טורבו בנזין,8,3855,591,7500,76.0,3000,3.5,323,,,9.3,,,,,,ABS + EBD + BAS,4,יש,יש,458.6,193.8,131.3,267.0,292.0,,1664.0,,,,,"ק' 245/35R20 , א' 285/35R20",80.0,2X4,1,4,1,פורטופינו
9,פרארי,פורטופינו,-,2021,2,4,אחורית,אוטומטית - רובוטית כפולת מצמדים,7,טורבו בנזין,8,3855,591,7500,76.0,3000,3.5,323,,,9.3,,,,,,ABS + EBD + BAS,4,יש,יש,458.6,193.8,131.3,267.0,292.0,,1664.0,,,,,"ק' 245/35R20 , א' 285/35R20",80.0,2X4,1,4,1,פורטופינו
10,פרארי,פורטופינו,-,2020,2,4,אחורית,אוטומטית - רובוטית כפולת מצמדים,8,טורבו בנזין,8,3855,591,7500,76.0,3000,3.5,323,,,9.3,,,,,,ABS + EBD + BAS,4,יש,יש,458.6,193.8,131.3,267.0,292.0,,1664.0,,,,,"ק' 245/35R20 , א' 285/35R20",80.0,2X4,1,4,1,פורטופינו
11,פרארי,פורטופינו,-,2019,2,4,אחורית,אוטומטית - רובוטית כפולת מצמדים,7,טורבו בנזין,8,3855,591,7500,76.0,3000,3.5,323,,,9.3,,,,,,ABS + EBD + BAS,4,יש,יש,458.6,193.8,131.3,267.0,292.0,,1664.0,,,,,"ק' 245/35R20 , א' 285/35R20",80.0,2X4,1,4,1,פורטופינו
12,פרארי,פורטופינו,-,2018,2,4,אחורית,אוטומטית - רובוטית כפולת מצמדים,7,טורבו בנזין,8,3855,591,7500,76.0,3000,3.5,323,,,9.3,,,,,,ABS + EBD + BAS,4,יש,יש,458.6,193.8,131.3,267.0,292.0,,1664.0,,,,,"ק' 245/35R20 , א' 285/35R20",80.0,2X4,1,4,1,פורטופינו
13,פרארי,רומא,-,2022,2,4,אחורית,אוטומטית - רובוטית כפולת מצמדים,8,טורבו בנזין,8,3855,620,7500,77.5,3000,3.4,320,,,8.9,,,,,,ABS + EBD + BAS,4,יש,יש,465.6,197.4,130.1,267.0,272.0,,1570.0,,,,,"ק' 245/35R20 , א' 285/35R20",80.0,2X4,1,4,1,רומא
14,פרארי,רומא,-,2021,2,4,אחורית,אוטומטית - רובוטית כפולת מצמדים,8,טורבו בנזין,8,3855,620,7500,77.5,3000,3.4,320,,,8.9,,,,,,ABS + EBD + BAS,4,יש,יש,465.6,197.4,130.1,267.0,272.0,,1570.0,,,,,"ק' 245/35R20 , א' 285/35R20",80.0,2X4,1,4,1,רומא
