,make,model,ramat_gimur,year,doors,sitting,ignition,gearbox,gear,engine,piston,capacity,power,loops,moment,loopmoment,acceleration,speed,urban_consumption,intercity_consumption,consumption,electricity_use,battery_capacity,electric_range,home_charging_time,fast_charging_time,brake,airbag,stability,cenairbag,length,width,height,wheel,cargo,chaircargo,selfweight,totalweight,loading,towing_without_brakes,towing_with_brakes,tire,fuel,hanaa_nm,automatic_ind,sitting,engine_cd,n_model
0,קדילאק,ATS,LUXURY,2019,4,5,אחורית,אוטומטית - טיפטרוניק,8,טורבו בנזין,4,1998,272,5500,40.8,3000,,,9.3,16.7,13.0,,,,,,ABS + EBD + BAS,10,יש,יש,464.3,180.5,142.1,277.5,295.0,,1530.0,,,,,225/40R18,61.0,2X4,1,5,1,ATS
1,קדילאק,ATS,PREMIUM,2019,4,5,אחורית,אוטומטית - טיפטרוניק,8,טורבו בנזין,4,1998,272,5500,40.8,3000,,,9.3,16.7,13.0,,,,,,ABS + EBD + BAS,10,יש,יש,464.3,180.5,142.1,277.5,295.0,,1530.0,,,,,"ק' 225/40R18 , א' 255/35R18",61.0,2X4,1,5,1,ATS
2,קדילאק,ATS,LUXURY,2018,4,5,אחורית,אוטומטית - טיפטרוניק,8,טורבו בנזין,4,1998,272,5500,40.8,3000,,,9.3,16.7,13.0,,,,,,ABS + EBD + BAS,10,יש,יש,464.3,180.5,142.1,277.5,295.0,,1530.0,,,,,225/40R18,61.0,2X4,1,5,1,ATS
3,קדילאק,ATS,PREMIUM,2018,4,5,אחורית,אוטומטית - טיפטרוניק,8,טורבו בנזין,4,1998,272,5500,40.8,3000,,,9.3,16.7,13.0,,,,,,ABS + EBD + BAS,10,יש,יש,464.3,180.5,142.1,277.5,295.0,,1530.0,,,,,"ק' 225/40R18 , א' 255/35R18",61.0,2X4,1,5,1,ATS
4,קדילאק,ATS,LUXURY,2017,4,5,אחורית,אוטומטית - טיפטרוניק,8,טורבו בנזין,4,1998,272,5500,40.8,3000,,,9.3,16.7,13.0,,,,,,ABS + EBD + BAS,10,יש,יש,464.3,180.5,142.1,277.5,295.0,,1530.0,,,,,225/40R18,61.0,2X4,1,5,1,ATS
5,קדילאק,ATS,PREMIUM,2017,4,5,אחורית,אוטומטית - טיפטרוניק,8,טורבו בנזין,4,1998,272,5500,40.8,3000,,,9.3,16.7,13.0,,,,,,ABS + EBD + BAS,10,יש,יש,464.3,180.5,142.1,277.5,295.0,,1530.0,,,,,"ק' 225/40R18 , א' 255/35R18",61.0,2X4,1,5,1,ATS
6,קדילאק,ATS,LUXURY,2016,4,5,אחורית,אוטומטית - טיפטרוניק,8,טורבו בנזין,4,1998,272,5500,40.8,3000,,,9.3,16.7,13.0,,,,,,ABS + EBD + BAS,10,יש,יש,464.3,180.5,142.1,277.5,295.0,,1530.0,,,,,225/40R18,61.0,2X4,1,5,1,ATS
7,קדילאק,ATS,PREMIUM,2016,4,5,אחורית,אוטומטית - טיפטרוניק,8,טורבו בנזין,4,1998,272,5500,40.8,3000,,,9.3,16.7,13.0,,,,,,ABS + EBD + BAS,10,יש,יש,464.3,180.5,142.1,277.5,295.0,,1530.0,,,,,"ק' 225/40R18 , א' 255/35R18",61.0,2X4,1,5,1,ATS
8,קדילאק,ATS,LUXURY,2015,4,5,אחורית,אוטומטית - טיפטרוניק,6,טורבו בנזין,4,1998,272,5500,36.0,1700,,,8.6,15.9,,,,,,,ABS,10,יש,יש,464.3,180.5,142.1,277.5,295.0,,1530.0,,,,,255/40R18,61.0,2X4,1,5,1,ATS
9,קדילאק,ATS,PREMIUM,2015,4,5,אחורית,אוטומטית - טיפטרוניק,6,טורבו בנזין,4,1998,272,5500,36.0,1700,,,8.6,15.9,,,,,,,ABS,10,יש,יש,464.3,180.5,142.1,277.5,295.0,,1530.0,,,,,"ק' - 225/40R18, א' - 255/35R18",61.0,2X4,1,5,1,ATS
