,make,model,ramat_gimur,year,doors,sitting,ignition,gearbox,gear,engine,piston,capacity,power,loops,moment,loopmoment,acceleration,speed,urban_consumption,intercity_consumption,consumption,electricity_use,battery_capacity,electric_range,home_charging_time,fast_charging_time,brake,airbag,stability,cenairbag,length,width,height,wheel,cargo,chaircargo,selfweight,totalweight,loading,towing_without_brakes,towing_with_brakes,tire,fuel,hanaa_nm,automatic_ind,sitting,engine_cd,n_model
0,קיה,פיקנטו,LX,2022,5,5,קדמית,אוטומטית - רובוטית מצמד יחיד,5.0,בנזין,4.0,1197.0,84,6000.0,12.0,4200.0,15.7,172.0,,,17.2,,,,,,ABS + EBD + BAS,7,יש,יש,359.5,159.5,148.5,240.0,255.0,1010.0,984.0,,,,,185/55R15,35.0,2X4,1,5,1,פיקנטו
1,קיה,פיקנטו,EX,2022,5,5,קדמית,אוטומטית - רובוטית מצמד יחיד,5.0,בנזין,4.0,1197.0,84,6000.0,12.0,4200.0,15.7,172.0,,,17.2,,,,,,ABS + EBD + BAS,7,יש,יש,359.5,159.5,148.5,240.0,255.0,1010.0,984.0,,,,,185/55R15,35.0,2X4,1,5,1,פיקנטו
2,קיה,פיקנטו,GT LINE,2022,5,5,קדמית,אוטומטית - רובוטית מצמד יחיד,5.0,בנזין,4.0,1197.0,84,6000.0,12.0,4200.0,15.7,172.0,,,16.9,,,,,,ABS + EBD + BAS,7,יש,יש,359.5,159.5,148.5,240.0,255.0,1010.0,984.0,,,,,195/45R16,35.0,2X4,1,5,1,פיקנטו
3,קיה,פיקנטו,X-LINE,2022,5,5,קדמית,אוטומטית - רובוטית מצמד יחיד,5.0,בנזין,4.0,1197.0,84,6000.0,12.0,4200.0,15.7,172.0,,,16.9,,,,,,ABS + EBD + BAS,7,יש,יש,359.5,159.5,150.0,240.0,255.0,1010.0,984.0,,,,,195/45R16,35.0,2X4,1,5,1,פיקנטו
4,קיה,פיקנטו,LX,2021,5,5,קדמית,אוטומטית - רובוטית מצמד יחיד,5.0,בנזין,4.0,1197.0,84,6000.0,12.0,4200.0,15.7,172.0,,,17.2,,,,,,ABS + EBD + BAS,7,יש,יש,359.5,159.5,148.5,240.0,255.0,1010.0,984.0,,,,,185/55R15,35.0,2X4,1,5,1,פיקנטו
5,קיה,פיקנטו,EX,2021,5,5,קדמית,אוטומטית - רובוטית מצמד יחיד,5.0,בנזין,4.0,1197.0,84,6000.0,12.0,4200.0,15.7,172.0,,,17.2,,,,,,ABS + EBD + BAS,7,יש,יש,359.5,159.5,148.5,240.0,255.0,1010.0,984.0,,,,,185/55R15,35.0,2X4,1,5,1,פיקנטו
6,קיה,פיקנטו,GT LINE,2021,5,5,קדמית,אוטומטית - רובוטית מצמד יחיד,5.0,בנזין,4.0,1197.0,84,6000.0,12.0,4200.0,15.7,172.0,,,16.9,,,,,,ABS + EBD + BAS,7,יש,יש,359.5,159.5,148.5,240.0,255.0,1010.0,984.0,,,,,195/45R16,35.0,2X4,1,5,1,פיקנטו
7,קיה,פיקנטו,X-LINE,2021,5,5,קדמית,אוטומטית - רובוטית מצמד יחיד,5.0,בנזין,4.0,1197.0,84,6000.0,12.0,4200.0,15.7,172.0,,,16.9,,,,,,ABS + EBD + BAS,7,יש,יש,359.5,159.5,150.0,240.0,255.0,1010.0,984.0,,,,,195/45R16,35.0,2X4,1,5,1,פיקנטו
8,קיה,פיקנטו,LX,2020,5,5,קדמית,ידנית,5.0,בנזין,3.0,998.0,67,5500.0,9.8,3500.0,13.7,161.0,17.8,27.0,22.7,,,,,,ABS + EBD + BAS,7,יש,יש,359.5,159.5,148.5,240.0,255.0,1010.0,935.0,,,,,175/65R14,35.0,2X4,0,5,1,פיקנטו
9,קיה,פיקנטו,5  LX,2020,5,5,קדמית,אוטומטית,4.0,בנזין,4.0,1248.0,84,6000.0,12.4,4000.0,12.0,173.0,14.28,22.2,18.5,,,,,,ABS + EBD + BAS,7,יש,יש,359.5,159.5,148.5,240.0,255.0,1010.0,959.0,,,,,175/65R14,35.0,2X4,1,5,1,פיקנטו
10,קיה,פיקנטו,5  EX,2020,5,5,קדמית,אוטומטית,4.0,בנזין,4.0,1248.0,84,6000.0,12.4,4000.0,12.0,173.0,14.28,22.2,18.5,,,,,,ABS + EBD + BAS,7,יש,יש,359.5,159.5,148.5,240.0,255.0,1010.0,959.0,,,,,185/55R15,35.0,2X4,1,5,1,פיקנטו
11,קיה,פיקנטו,LX,2020,5,5,קדמית,אוטומטית,4.0,בנזין,3.0,998.0,67,5500.0,9.8,3500.0,14.3,161.0,15.1,23.8,19.6,,,,,,ABS + EBD + BAS,7,יש,יש,359.5,159.5,148.0,238.5,255.0,1010.0,954.0,,,,,165/60R14,35.0,2X4,1,5,1,פיקנטו
12,קיה,פיקנטו,5  GT LINE,2020,5,5,קדמית,אוטומטית,4.0,בנזין,4.0,1248.0,84,6000.0,12.4,4000.0,12.0,173.0,14.28,22.2,18.5,,,,,,ABS + EBD + BAS,7,יש,יש,359.5,159.5,148.5,240.0,255.0,1010.0,959.0,,,,,195/45R16,35.0,2X4,1,5,1,פיקנטו
