,make,model,ramat_gimur,year,doors,sitting,ignition,gearbox,gear,engine,piston,capacity,power,loops,moment,loopmoment,acceleration,speed,urban_consumption,intercity_consumption,consumption,electricity_use,battery_capacity,electric_range,home_charging_time,fast_charging_time,brake,airbag,stability,cenairbag,length,width,height,wheel,cargo,chaircargo,selfweight,totalweight,loading,towing_without_brakes,towing_with_brakes,tire,fuel,hanaa_nm,automatic_ind,sitting,engine_cd,n_model
0,קרייזלר,סברינג,LIMITED,2009,4,5,קדמית,אוטומטית,6,בנזין,6,2736,186,5500,26.0,4000,10.3,203.0,,,10.0,,,,,,ABS + EBD,6,יש,אין,485.0,184.3,149.7,276.5,441.0,,1615,,,,,215/55R18,64,2X4,1,5,1,סברינג
1,קרייזלר,סברינג,LIMITED,2008,4,5,קדמית,אוטומטית,6,בנזין,6,2736,186,5500,26.0,4000,10.3,203.0,,,10.0,,,,,,ABS + EBD,6,יש,אין,485.0,184.3,149.7,276.5,441.0,,1615,,,,,215/55R18,64,2X4,1,5,1,סברינג
2,קרייזלר,300C,LIMITED,2016,5,5,אחורית,אוטומטית - טיפטרוניק,8,בנזין,6,3604,282,6350,36.0,4800,7.7,240.0,7.2,14.9,10.6,,,,,,ABS + EBD + BAS,7,יש,יש,504.4,190.2,148.5,305.2,462.0,,1828,,,,,235/55R18,75,2X4,1,5,1,300C
3,קרייזלר,300C,LIMITED,2015,5,5,אחורית,אוטומטית - טיפטרוניק,8,בנזין,6,3604,282,6350,36.0,4800,7.7,240.0,7.2,14.9,10.6,,,,,,ABS + EBD + BAS,7,יש,יש,504.4,190.2,148.5,305.2,462.0,,1828,,,,,235/55R18,75,2X4,1,5,1,300C
4,קרייזלר,300C,LUXURY,2014,5,5,אחורית,אוטומטית - טיפטרוניק,8,בנזין,6,3604,282,6350,36.0,4800,7.7,240.0,7.0,14.0,10.3,,,,,,ABS + EBD + BAS,7,יש,יש,504.4,190.2,149.2,305.2,462.0,,1962,,,,,245/45R20,75,2X4,1,5,1,300C
5,קרייזלר,300C,,2014,5,5,אחורית,אוטומטית - טיפטרוניק,8,בנזין,6,3604,282,6350,36.0,4800,7.7,240.0,7.2,14.9,10.6,,,,,,ABS + EBD + BAS,7,יש,יש,504.4,190.2,148.5,305.2,462.0,,1828,,,,,235/55R18,75,2X4,1,5,1,300C
6,קרייזלר,300C,LIMITED,2013,5,5,אחורית,אוטומטית,8,בנזין,6,3604,282,6350,36.0,4800,7.7,240.0,7.2,14.9,10.6,,,,,,ABS + EBD + BAS,7,יש,יש,504.4,190.2,148.5,305.2,462.0,,1828,,,,,235/55R18,75,2X4,1,5,1,300C
7,קרייזלר,300C,LUXURY,2013,5,5,אחורית,אוטומטית - טיפטרוניק,8,בנזין,6,3604,282,6350,36.0,4800,7.7,240.0,7.0,14.0,10.3,,,,,,ABS + EBD + BAS,7,יש,יש,504.4,190.2,149.2,305.2,462.0,,1962,,,,,245/45R20,75,2X4,1,5,1,300C
8,קרייזלר,300C,,2013,5,5,אחורית,אוטומטית,8,בנזין,6,3604,282,6350,36.0,4800,7.7,240.0,7.2,14.9,10.6,,,,,,ABS + EBD + BAS,7,יש,יש,504.4,190.2,148.5,305.2,462.0,,1828,,,,,235/55R18,75,2X4,1,5,1,300C
9,קרייזלר,300C,LIMITED,2012,5,5,אחורית,אוטומטית,8,בנזין,6,3604,282,6350,36.0,4800,7.7,240.0,7.2,14.9,10.6,,,,,,ABS + EBD + BAS,7,יש,יש,504.4,190.2,148.5,305.2,462.0,,1828,,,,,235/55R18,75,2X4,1,5,1,300C
10,קרייזלר,300C,LUXURY,2012,5,5,אחורית,אוטומטית - טיפטרוניק,8,בנזין,6,3604,282,6350,36.0,4800,7.7,240.0,7.0,14.0,10.3,,,,,,ABS + EBD + BAS,7,יש,יש,504.4,190.2,149.2,305.2,462.0,,1962,,,,,245/45R20,75,2X4,1,5,1,300C
11,קרייזלר,300C,,2012,5,5,אחורית,אוטומטית,8,בנזין,6,3604,282,6350,36.0,4800,7.7,240.0,7.2,14.9,10.6,,,,,,ABS + EBD + BAS,7,יש,יש,504.4,190.2,148.5,305.2,462.0,,1828,,,,,235/55R18,75,2X4,1,5,1,300C
12,קרייזלר,300C,,2011,4,5,אחורית,אוטומטית - טיפטרוניק,5,בנזין,6,3518,253,6400,34.6,3800,9.2,218.0,,,10.9,,,,,,ABS,6,יש,אין,500.0,188.0,148.0,305.0,442.0,,1746,,,,,225/60R18,68,2X4,1,5,1,300C
13,קרייזלר,300C,,2010,4,5,אחורית,אוטומטית - טיפטרוניק,5,בנזין,6,3518,253,6400,34.6,3800,9.2,218.0,,,10.9,,,,,,ABS,6,יש,אין,500.0,188.0,148.0,305.0,442.0,,1746,,,,,225/60R18,68,2X4,1,5,1,300C
14,קרייזלר,300C,,2009,4,5,אחורית,אוטומטית - טיפטרוניק,5,בנזין,6,3518,253,6400,34.6,3800,9.2,218.0,,,10.9,,,,,,ABS,6,יש,אין,500.0,188.0,148.0,305.0,442.0,,1746,,,,,225/60R18,68,2X4,1,5,1,300C
15,קרייזלר,300C,,2008,4,5,אחורית,אוטומטית - טיפטרוניק,5,בנזין,6,3518,253,6400,34.6,3800,9.2,218.0,,,10.9,,,,,,ABS,6,יש,אין,500.0,188.0,148.0,305.0,442.0,,1746,,,,,225/60R18,68,2X4,1,5,1,300C
16,קרייזלר,300C,,2007,4,5,אחורית,אוטומטית - טיפטרוניק,5,בנזין,6,3518,253,6400,34.6,3800,9.2,218.0,,,10.9,,,,,,ABS,6,יש,אין,500.0,188.0,148.0,305.0,442.0,,1746,,,,,225/60R18,68,2X4,1,5,1,300C
17,קרייזלר,300C,,2006,4,5,אחורית,אוטומטית - טיפטרוניק,5,בנזין,6,3518,253,6400,34.6,3800,9.2,218.0,,,10.9,,,,,,ABS,6,יש,אין,500.0,188.0,148.0,305.0,442.0,,1746,,,,,225/60R18,68,2X4,1,5,1,300C
18,קרייזלר,300C,,2005,4,5,אחורית,אוטומטית - טיפטרוניק,5,בנזין,6,3518,253,6400,34.6,3800,9.2,218.0,,,10.9,,,,,,ABS,6,יש,אין,500.0,188.0,148.0,305.0,442.0,,1746,,,,,225/60R18,68,2X4,1,5,1,300C
19,קרייזלר,PT קרוזר,,2010,5,5,קדמית,אוטומטית,4,בנזין,4,2429,143,5200,21.8,4000,10.3,171.0,,,10.0,,,,,,ABS,ללא,אין,אין,428.8,170.5,160.1,261.6,602.0,1708.0,1610,,,,,205/50R17,57,2X4,1,5,1,PT קרוזר
20,קרייזלר,PT קרוזר,,2009,5,5,קדמית,אוטומטית,4,בנזין,4,2429,143,5200,21.8,4000,10.3,171.0,,,10.0,,,,,,ABS,ללא,אין,אין,428.8,170.5,160.1,261.6,602.0,1708.0,1610,,,,,205/50R17,57,2X4,1,5,1,PT קרוזר
21,קרייזלר,PT קרוזר,,2008,5,5,קדמית,אוטומטית,4,בנזין,4,2429,143,5200,21.8,4000,10.3,171.0,,,10.0,,,,,,ABS,ללא,אין,אין,428.8,170.5,160.1,261.6,602.0,1708.0,1610,,,,,205/50R17,57,2X4,1,5,1,PT קרוזר
22,קרייזלר,PT קרוזר,,2007,5,5,קדמית,אוטומטית,4,בנזין,4,2429,143,5200,21.8,4000,10.3,171.0,,,10.0,,,,,,ABS,ללא,אין,אין,428.8,170.5,160.1,261.6,602.0,1708.0,1610,,,,,205/50R17,57,2X4,1,5,1,PT קרוזר
23,קרייזלר,PT קרוזר,,2006,5,5,קדמית,אוטומטית,4,בנזין,4,2429,143,5200,21.8,4000,10.3,171.0,,,10.0,,,,,,ABS,ללא,אין,אין,428.8,170.5,160.1,261.6,602.0,1708.0,1610,,,,,205/50R17,57,2X4,1,5,1,PT קרוזר
24,קרייזלר,PT קרוזר,,2005,5,5,קדמית,אוטומטית,4,בנזין,4,1996,141,5700,19.2,4150,12.5,166.0,7.6,12.7,10.2,,,,,,ABS,ללא,אין,אין,428.8,170.5,160.1,261.6,602.0,1708.0,1460,,,,,205/50R17,57,2X4,1,5,1,PT קרוזר
25,קרייזלר,PT קרוזר,,2004,5,5,קדמית,אוטומטית,4,בנזין,4,1996,141,5700,19.2,4150,12.5,166.0,7.6,12.7,10.2,,,,,,ABS,ללא,אין,אין,428.8,170.5,160.1,261.6,602.0,1708.0,1460,,,,,205/50R17,57,2X4,1,5,1,PT קרוזר
26,קרייזלר,PT קרוזר,,2003,5,5,קדמית,אוטומטית,4,בנזין,4,1996,141,5700,19.2,4150,12.5,166.0,7.6,12.7,10.2,,,,,,ABS,ללא,אין,אין,428.8,170.5,160.1,261.6,602.0,1708.0,1460,,,,,205/50R17,57,2X4,1,5,1,PT קרוזר
