,make,model,ramat_gimur,year,doors,sitting,ignition,gearbox,gear,engine,piston,capacity,power,loops,moment,loopmoment,acceleration,speed,urban_consumption,intercity_consumption,consumption,electricity_use,battery_capacity,electric_range,home_charging_time,fast_charging_time,brake,airbag,stability,cenairbag,length,width,height,wheel,cargo,chaircargo,selfweight,totalweight,loading,towing_without_brakes,towing_with_brakes,tire,fuel,hanaa_nm,automatic_ind,sitting,engine_cd,n_model
0,רנו,טווינגו,LIFE,2019,5,4,אחורית,ידנית,5.0,בנזין,3.0,999.0,70,6000.0,9.3,2850.0,14.5,151.0,15.8,23.8,20.0,,,,,,ABS + EBD + BAS,4,יש,יש,359.5,164.6,155.4,249.2,219.0,980.0,939.0,,,,,"ק' - 165/65R15, א' - 185/60R15",35.0,2X4,0,4,1,טווינגו
1,רנו,טווינגו,ZEN,2019,5,4,אחורית,אוטומטית - רובוטית כפולת מצמדים,6.0,טורבו בנזין,3.0,898.0,90,5500.0,13.8,2500.0,10.8,165.0,16.6,24.3,20.8,,,,,,ABS + EBD + BAS,4,יש,יש,359.5,164.6,155.4,249.2,219.0,980.0,1068.0,,,,,"ק' - 165/65R15, א' - 185/60R15",35.0,2X4,1,4,1,טווינגו
2,רנו,טווינגו,DYNAMIQUE,2019,5,4,אחורית,אוטומטית - רובוטית כפולת מצמדים,6.0,טורבו בנזין,3.0,898.0,90,5500.0,13.8,2500.0,10.8,165.0,16.6,24.3,20.8,,,,,,ABS + EBD + BAS,4,יש,יש,359.5,164.6,155.4,249.2,219.0,980.0,1068.0,,,,,"ק' - 165/65R15, א' - 185/60R15",35.0,2X4,1,4,1,טווינגו
3,רנו,טווינגו,INTENSE,2019,5,4,אחורית,אוטומטית - רובוטית כפולת מצמדים,6.0,טורבו בנזין,3.0,898.0,90,5500.0,13.8,2500.0,10.8,165.0,16.6,24.3,20.8,,,,,,ABS + EBD + BAS,4,יש,יש,359.5,164.6,155.4,249.2,219.0,980.0,1068.0,,,,,"ק' - 185/50R16, א' - 205/45R16",35.0,2X4,1,4,1,טווינגו
4,רנו,טווינגו,LIFE,2018,5,4,אחורית,ידנית,5.0,בנזין,3.0,999.0,70,6000.0,9.3,2850.0,14.5,151.0,15.8,23.8,20.0,,,,,,ABS + EBD + BAS,4,יש,יש,359.5,164.6,155.4,249.2,219.0,980.0,939.0,,,,,"ק' - 165/65R15, א' - 185/60R15",35.0,2X4,0,4,1,טווינגו
5,רנו,טווינגו,ZEN,2018,5,4,אחורית,אוטומטית - רובוטית כפולת מצמדים,6.0,טורבו בנזין,3.0,898.0,90,5500.0,13.8,2500.0,10.8,165.0,16.6,24.3,20.8,,,,,,ABS + EBD + BAS,4,יש,יש,359.5,164.6,155.4,249.2,219.0,980.0,1068.0,,,,,"ק' - 165/65R15, א' - 185/60R15",35.0,2X4,1,4,1,טווינגו
6,רנו,טווינגו,DYNAMIQUE,2018,5,4,אחורית,אוטומטית - רובוטית כפולת מצמדים,6.0,טורבו בנזין,3.0,898.0,90,5500.0,13.8,2500.0,10.8,165.0,16.6,24.3,20.8,,,,,,ABS + EBD + BAS,4,יש,יש,359.5,164.6,155.4,249.2,219.0,980.0,1068.0,,,,,"ק' - 165/65R15, א' - 185/60R15",35.0,2X4,1,4,1,טווינגו
7,רנו,טווינגו,INTENSE,2018,5,4,אחורית,אוטומטית - רובוטית כפולת מצמדים,6.0,טורבו בנזין,3.0,898.0,90,5500.0,13.8,2500.0,10.8,165.0,16.6,24.3,20.8,,,,,,ABS + EBD + BAS,4,יש,יש,359.5,164.6,155.4,249.2,219.0,980.0,1068.0,,,,,"ק' - 185/50R16, א' - 205/45R16",35.0,2X4,1,4,1,טווינגו
8,רנו,טווינגו,LIFE,2017,5,4,אחורית,ידנית,5.0,בנזין,3.0,999.0,70,6000.0,9.3,2850.0,14.5,151.0,15.8,23.8,20.0,,,,,,ABS + EBD + BAS,4,יש,יש,,,,,,,,,,,,,,2X4,0,4,1,טווינגו
9,רנו,טווינגו,ZEN,2017,5,4,אחורית,אוטומטית - רובוטית כפולת מצמדים,6.0,טורבו בנזין,3.0,898.0,90,5500.0,13.8,2500.0,10.8,165.0,16.6,24.3,20.8,,,,,,ABS + EBD + BAS,4,יש,יש,,,,,,,,,,,,,,2X4,1,4,1,טווינגו
10,רנו,טווינגו,DYNAMIQUE,2017,5,4,אחורית,אוטומטית - רובוטית כפולת מצמדים,6.0,טורבו בנזין,3.0,898.0,90,5500.0,13.8,2500.0,10.8,165.0,16.6,24.3,20.8,,,,,,ABS + EBD + BAS,4,יש,יש,,,,,,,,,,,,,,2X4,1,4,1,טווינגו
11,רנו,טווינגו,INTENSE,2017,5,4,אחורית,אוטומטית - רובוטית כפולת מצמדים,6.0,טורבו בנזין,3.0,898.0,90,5500.0,13.8,2500.0,10.8,165.0,16.6,24.3,20.8,,,,,,ABS + EBD + BAS,4,יש,יש,,,,,,,,,,,,,,2X4,1,4,1,טווינגו
12,רנו,קליאו,INTENSE,2022,5,5,קדמית,ידנית,6.0,טורבו בנזין,3.0,999.0,90,5000.0,16.3,3750.0,12.2,180.0,,,17.2,,,,,,ABS + EBD + BAS,6,יש,יש,404.7,172.8,143.7,258.3,391.0,1069.0,1159.0,1591.0,432.0,575.0,900.0,195/55R16,42.0,2X4,0,5,1,קליאו
13,רנו,קליאו,INTENSE,2022,5,5,קדמית,אוטומטית - רציפה,,טורבו בנזין,3.0,999.0,90,5000.0,14.5,3750.0,12.4,175.0,,,15.6,,,,,,ABS + EBD + BAS,6,יש,יש,404.7,172.8,143.7,258.3,391.0,1069.0,1190.0,1614.0,424.0,595.0,900.0,195/55R16,42.0,2X4,1,5,1,קליאו
14,רנו,קליאו,RS-LINE,2022,5,5,קדמית,אוטומטית - רציפה,,טורבו בנזין,3.0,999.0,90,5000.0,14.5,3750.0,12.4,175.0,,,16.4,,,,,,ABS + EBD + BAS,6,יש,יש,404.7,172.8,143.7,258.3,391.0,1069.0,1201.0,1625.0,424.0,600.0,900.0,205/45R17,42.0,2X4,1,5,1,קליאו
15,רנו,קליאו,ZEN,2022,5,5,קדמית,אוטומטית - רציפה,,טורבו בנזין,3.0,999.0,90,5000.0,14.5,3750.0,12.4,175.0,,,17.5,,,,,,ABS + EBD + BAS,6,יש,יש,404.7,172.8,143.7,258.3,391.0,1069.0,1190.0,1614.0,424.0,595.0,900.0,195/55R16,42.0,2X4,1,5,1,קליאו
16,רנו,קליאו,LUTECIA,2022,5,5,קדמית,אוטומטית - רציפה,,טורבו בנזין,3.0,999.0,90,5000.0,14.5,3750.0,12.4,175.0,,,15.6,,,,,,ABS + EBD + BAS,6,יש,יש,404.7,172.8,143.7,258.3,391.0,1069.0,1201.0,1625.0,424.0,600.0,900.0,205/45R17,42.0,2X4,1,5,1,קליאו
17,רנו,קליאו,INTENSE,2021,5,5,קדמית,ידנית,5.0,טורבו בנזין,3.0,999.0,100,5000.0,16.3,2750.0,12.5,188.0,,,16.9,,,,,,ABS + EBD + BAS,6,יש,יש,404.7,172.8,143.7,258.3,391.0,1069.0,1165.0,,,580.0,900.0,195/55R16,42.0,2X4,0,5,1,קליאו
18,רנו,קליאו,INTENSE,2021,5,5,קדמית,אוטומטית - רובוטית כפולת מצמדים,7.0,טורבו בנזין,4.0,1332.0,131,5000.0,24.5,1600.0,9.0,200.0,,,15.8,,,,,,ABS + EBD + BAS,6,יש,יש,404.7,172.8,143.7,258.3,391.0,1069.0,1233.0,,,615.0,900.0,195/55R16,42.0,2X4,1,5,1,קליאו
19,רנו,קליאו,RS-LINE,2021,5,5,קדמית,אוטומטית - רובוטית כפולת מצמדים,7.0,טורבו בנזין,4.0,1332.0,131,5000.0,24.5,1600.0,9.0,200.0,,,15.8,,,,,,ABS + EBD + BAS,6,יש,יש,404.7,172.8,143.7,258.3,391.0,1069.0,1233.0,,,615.0,900.0,205/45R17,42.0,2X4,1,5,1,קליאו
20,רנו,קליאו,ZEN,2021,5,5,קדמית,אוטומטית - רציפה,,טורבו בנזין,3.0,999.0,100,5000.0,14.5,2750.0,11.5,182.0,,,15.3,,,,,,ABS + EBD + BAS,6,יש,יש,404.7,172.8,143.7,258.3,391.0,1069.0,1187.0,,,590.0,900.0,195/55R16,42.0,2X4,1,5,1,קליאו
21,רנו,קליאו,INTENSE,2020,5,5,קדמית,ידנית,5.0,טורבו בנזין,3.0,999.0,100,5000.0,16.3,2750.0,12.5,188.0,17.5,24.4,21.2,,,,,,ABS + EBD + BAS,6,יש,יש,404.7,172.8,143.7,258.3,391.0,1069.0,1165.0,,,580.0,900.0,195/55R16,42.0,2X4,0,5,1,קליאו
22,רנו,קליאו,INTENSE,2020,5,5,קדמית,אוטומטית - רובוטית כפולת מצמדים,7.0,טורבו בנזין,4.0,1332.0,131,5000.0,24.5,1600.0,9.0,200.0,14.5,21.2,18.1,,,,,,ABS + EBD + BAS,6,יש,יש,404.7,172.8,143.7,258.3,391.0,1069.0,1233.0,,,615.0,900.0,195/55R16,42.0,2X4,1,5,1,קליאו
23,רנו,קליאו,RS-LINE,2020,5,5,קדמית,אוטומטית - רובוטית כפולת מצמדים,7.0,טורבו בנזין,4.0,1332.0,131,5000.0,24.5,1600.0,9.0,200.0,14.5,21.2,18.1,,,,,,ABS + EBD + BAS,6,יש,יש,404.7,172.8,143.7,258.3,391.0,1069.0,1233.0,,,615.0,900.0,205/45R17,42.0,2X4,1,5,1,קליאו
24,רנו,קליאו,ZEN,2020,5,5,קדמית,אוטומטית - רציפה,,טורבו בנזין,3.0,999.0,100,5000.0,14.5,2750.0,11.5,182.0,16.6,20.8,18.8,,,,,,ABS + EBD + BAS,6,יש,יש,404.7,172.8,143.7,258.3,391.0,1069.0,1187.0,,,590.0,900.0,195/55R16,42.0,2X4,1,5,1,קליאו
25,רנו,קליאו,EXPRESSION PACK,2019,5,5,קדמית,ידנית,5.0,טורבו בנזין,3.0,898.0,90,5250.0,14.3,2500.0,12.2,182.0,17.5,24.4,21.3,,,,,,ABS + EBD + BAS,4,יש,יש,406.3,173.2,144.8,258.9,300.0,1146.0,1092.0,,,575.0,750.0,195/55R16,45.0,2X4,0,5,1,קליאו
26,רנו,קליאו,EXPRESSION PACK,2019,5,5,קדמית,אוטומטית - רובוטית כפולת מצמדים,6.0,טורבו בנזין,4.0,1197.0,118,5000.0,20.9,2000.0,9.4,170.0,14.7,22.2,18.5,,,,,,ABS + EBD + BAS,4,יש,יש,406.3,173.2,144.8,258.9,300.0,1146.0,1154.0,,,580.0,750.0,195/55R16,45.0,2X4,1,5,1,קליאו
27,רנו,קליאו,COLLECTION,2019,5,5,קדמית,אוטומטית - רובוטית כפולת מצמדים,6.0,טורבו בנזין,4.0,1197.0,118,5000.0,20.9,2000.0,9.4,170.0,14.7,22.2,18.5,,,,,,ABS + EBD + BAS,4,יש,יש,406.3,173.2,144.8,258.9,300.0,1146.0,1154.0,,,580.0,750.0,195/55R16,45.0,2X4,1,5,1,קליאו
28,רנו,קליאו,LIFE,2019,5,5,קדמית,אוטומטית - רובוטית כפולת מצמדים,6.0,טורבו בנזין,4.0,1197.0,118,5000.0,20.9,2000.0,9.4,170.0,14.7,22.2,18.5,,,,,,ABS + EBD + BAS,4,יש,יש,406.3,173.2,144.8,258.9,300.0,1146.0,1154.0,,,580.0,750.0,195/55R16,45.0,2X4,1,5,1,קליאו
29,רנו,קליאו,EXPRESSION PACK,2018,5,5,קדמית,ידנית,5.0,טורבו בנזין,3.0,898.0,90,5250.0,14.3,2500.0,12.2,182.0,17.5,24.4,21.3,,,,,,ABS + EBD + BAS,4,יש,יש,406.3,173.2,144.8,258.9,300.0,1146.0,1092.0,,,575.0,750.0,195/55R16,45.0,2X4,0,5,1,קליאו
30,רנו,קליאו,COLLECTION,2018,5,5,קדמית,ידנית,5.0,טורבו בנזין,3.0,898.0,90,5250.0,14.3,2500.0,12.2,182.0,17.5,24.4,21.3,,,,,,ABS + EBD + BAS,4,יש,יש,406.3,173.2,144.8,258.9,300.0,1146.0,1092.0,,,575.0,750.0,195/55R16,45.0,2X4,0,5,1,קליאו
31,רנו,קליאו,EXPRESSION PACK,2018,5,5,קדמית,אוטומטית - רובוטית כפולת מצמדים,6.0,טורבו בנזין,4.0,1197.0,118,5000.0,20.9,2000.0,9.4,170.0,14.7,22.2,18.5,,,,,,ABS + EBD + BAS,4,יש,יש,406.3,173.2,144.8,258.9,300.0,1146.0,1154.0,,,580.0,750.0,195/55R16,45.0,2X4,1,5,1,קליאו
