,make,model,ramat_gimur,year,doors,sitting,ignition,gearbox,gear,engine,piston,capacity,power,loops,moment,loopmoment,acceleration,speed,urban_consumption,intercity_consumption,consumption,electricity_use,battery_capacity,electric_range,home_charging_time,fast_charging_time,brake,airbag,stability,cenairbag,length,width,height,wheel,cargo,chaircargo,selfweight,totalweight,loading,towing_without_brakes,towing_with_brakes,tire,fuel,hanaa_nm,automatic_ind,sitting,engine_cd,n_model
0,שברולט,ספארק,LT+,2022,5,5,קדמית,אוטומטית - רציפה,,בנזין,4,1399,98,6200,13.1,4400,12.6,179.0,,,16.1,,,,,,ABS + EBD + BAS,10,יש,יש,365.5,159.5,148.3,238.5,313.0,,1138,1447.0,309.0,,,165/65R14,35,2X4,1,5,1,ספארק
1,שברולט,ספארק,LT+,2021,5,5,קדמית,אוטומטית - רציפה,,בנזין,4,1399,98,6200,13.1,4400,12.6,179.0,,,16.1,,,,,,ABS + EBD + BAS,10,יש,יש,365.5,159.5,148.3,238.5,313.0,,1138,1447.0,309.0,,,165/65R14,35,2X4,1,5,1,ספארק
2,שברולט,ספארק,PREMIER,2021,5,5,קדמית,אוטומטית - רציפה,,בנזין,4,1399,98,6200,13.1,4400,12.6,179.0,,,16.1,,,,,,ABS + EBD + BAS,10,יש,יש,365.5,159.5,148.3,238.5,313.0,,1138,1447.0,309.0,,,185/55R15,35,2X4,1,5,1,ספארק
3,שברולט,ספארק,LT+,2020,5,5,קדמית,אוטומטית - רציפה,,בנזין,4,1399,98,6200,13.1,4400,12.6,179.0,13.7,21.7,18.2,,,,,,ABS + EBD + BAS,10,יש,יש,365.5,159.5,148.3,238.5,313.0,,1138,,,,,165/65R14,35,2X4,1,5,1,ספארק
4,שברולט,ספארק,PREMIER,2020,5,5,קדמית,אוטומטית - רציפה,,בנזין,4,1399,98,6200,13.1,4400,12.6,179.0,13.7,21.7,18.2,,,,,,ABS + EBD + BAS,10,יש,יש,365.5,159.5,148.3,238.5,313.0,,1138,,,,,185/55R15,35,2X4,1,5,1,ספארק
5,שברולט,ספארק,LT+,2019,5,5,קדמית,אוטומטית - רציפה,,בנזין,4,1399,98,6200,13.1,4400,12.6,179.0,13.7,21.7,18.2,,,,,,ABS + EBD + BAS,10,יש,יש,365.5,159.5,148.3,238.5,313.0,,1138,,,,,165/65R14,35,2X4,1,5,1,ספארק
6,שברולט,ספארק,LTZ,2019,5,5,קדמית,אוטומטית - רציפה,,בנזין,4,1399,98,6200,13.1,4400,12.6,179.0,13.7,21.7,18.2,,,,,,ABS + EBD + BAS,10,יש,יש,365.5,159.5,148.3,238.5,313.0,,1138,,,,,185/55R15,35,2X4,1,5,1,ספארק
7,שברולט,ספארק,PREMIER,2019,5,5,קדמית,אוטומטית - רציפה,,בנזין,4,1399,98,6200,13.1,4400,12.6,179.0,13.7,21.7,18.2,,,,,,ABS + EBD + BAS,10,יש,יש,365.5,159.5,148.3,238.5,313.0,,1138,,,,,185/55R15,35,2X4,1,5,1,ספארק
8,שברולט,ספארק,LT+,2018,5,5,קדמית,ידנית,5.0,בנזין,3,999,74,6500,9.7,4500,15.5,170.0,16.4,23.8,20.4,,,,,,ABS,6,יש,יש,363.6,159.5,147.6,238.5,185.0,,1046,,,,,165/65R14,32,2X4,0,5,1,ספארק
9,שברולט,ספארק,LT,2018,5,5,קדמית,אוטומטית - רציפה,,בנזין,4,1399,98,6200,13.1,4400,12.6,179.0,13.7,21.7,18.2,,,,,,ABS,6,יש,יש,363.6,159.5,147.6,238.5,185.0,,1088,,,,,165/65R14,32,2X4,1,5,1,ספארק
10,שברולט,ספארק,LS,2018,5,5,קדמית,ידנית,5.0,בנזין,3,999,74,6500,9.7,4500,15.5,170.0,16.4,23.8,20.4,,,,,,ABS,6,יש,יש,363.6,159.5,147.6,238.5,185.0,,1046,,,,,165/65R14,32,2X4,0,5,1,ספארק
11,שברולט,ספארק,LT+,2018,5,5,קדמית,אוטומטית - רציפה,,בנזין,4,1399,98,6200,13.1,4400,12.6,179.0,13.7,21.7,18.2,,,,,,ABS,6,יש,יש,363.6,159.5,147.6,238.5,185.0,,1088,,,,,165/65R14,32,2X4,1,5,1,ספארק
12,שברולט,ספארק,LTZ,2018,5,5,קדמית,אוטומטית - רציפה,,בנזין,4,1399,98,6200,13.1,4400,12.6,179.0,13.7,21.7,18.2,,,,,,ABS,6,יש,יש,363.6,159.5,147.6,238.5,185.0,,1088,,,,,185/55R15,32,2X4,1,5,1,ספארק
13,שברולט,ספארק,LS,2017,5,5,קדמית,ידנית,5.0,בנזין,3,999,74,6500,9.7,4500,15.5,170.0,16.4,23.8,20.4,,,,,,ABS,6,יש,יש,363.6,159.5,147.6,238.5,185.0,,1046,,,,,165/65R14,32,2X4,0,5,1,ספארק
14,שברולט,ספארק,LT+,2017,5,5,קדמית,ידנית,5.0,בנזין,3,999,74,6500,9.7,4500,15.5,170.0,16.4,23.8,20.4,,,,,,ABS,6,יש,יש,363.6,159.5,147.6,238.5,185.0,,1046,,,,,165/65R14,32,2X4,0,5,1,ספארק
